Sample	QC.1	AC9.3_I	AC9.3_II	AC9.1_II	AC9.1_III	pPTGE30_I	AC9.2_I	pPTGE30_II	AC9.3_III	AC9.1_I	pPTGE30_III	AC9.2_III	AC9.2_II	QC.2
Label	QC	AC9.3	AC9.3	AC9.1	AC9.1	E30	AC9.2	E30	AC9.3	AC9.1	E30	AC9.2	AC9.2	QC
2.706/50.33354	702	916	174	736	1519	990	949	1115	907	1509	884	841	923	1327
2.710/50.38539	1355	578	218	579	1258	830	822	1418	821	1089	1478	983	955	1487
2.710/50.43836	344	1067	332	594	1025	1009	674	961	681	676	511	368	1401	1472
2.710/50.52535	521	464	194	570	861	498	611	824	268	867	301	1379	608	1035
2.702/50.58127	884	654	637	632	359	774	641	1385	676	1232	466	646	1096	774
2.705/50.63198	1139	484	198	671	584	735	1104	382	336	1055	693	1048	1406	1218
2.710/50.68744	843	611	408	317	532	1475	855	933	428	1184	902	1453	869	853
2.710/50.73946	696	388	297	177	428	564	1032	575	504	892	907	410	580	742
0.552/57.97564	523	297	455	140	236	302	207	193	186	2837	269	108	76	514
0.546/61.98883	64887	65934	74977	59482	45064	59035	54084	58557	72231	38178	47255	43584	42517	67659
0.585/68.78572	280	327	242	242	217	1214	158	294	233	160	267	202	252	287
0.585/68.99624	49872	49805	42103	27189	36019	150904	32943	41455	38413	39744	30071	26109	29117	41762
0.587/71.01408	1115	870	588	976	901	551	1676	1003	562	1216	1435	990	891	806
0.567/73.02956	7910	13913	10859	5907	7955	1730	6367	2967	17294	5946	775	7695	6365	6726
0.609/78.95925	6999	8010	5629	5450	5793	4385	6875	5396	4635	5602	6149	6450	6146	5262
0.460/78.95929	8233	8738	4372	10659	5286	14721	8567	18126	4615	9981	13323	8519	7116	9545
0.551/79.95733	26177	26821	24117	25060	18319	25971	21905	26307	21574	20268	21492	20910	19077	27789
0.460/79.95767	62527	63831	73441	58704	60975	62290	58824	62568	66012	53867	59400	55109	55328	61410
0.546/80.91650	1215	1301	1441	1168	695	925	1298	1218	1223	544	939	842	1230	961
0.467/81.95349	2440	2327	2798	1978	2374	1003	1943	2514	2578	2173	2342	2209	2157	2458
0.552/85.02899	920	1066	1360	1236	908	923	737	1080	654	814	530	591	576	869
0.552/87.00858	1086	1143	885	1339	380	876	1100	1281	246	1307	1292	859	401	893
0.564/88.04074	4769	5789	4602	4845	4490	3796	4358	4044	6149	3997	5086	3350	4222	3744
0.555/89.02636	458	24	0	251	80	0	159	0	697	74	0	78	588	76
2.744/89.24826	241	143	60	1337	1733	387	1329	514	206	1179	304	1132	786	1791
2.744/89.32633	624	370	120	1208	1259	463	1564	914	398	2771	422	2469	1913	730
2.744/89.36583	830	170	240	994	1999	268	1220	1153	307	2136	476	2256	2215	1423
2.744/89.40429	327	407	120	1924	1961	604	1360	183	645	1046	670	1960	1444	840
2.744/89.63519	1487	434	150	1079	2867	755	2556	454	394	1504	875	1370	3043	888
2.735/89.67442	647	584	120	601	495	297	980	532	492	1676	352	2527	815	780
2.744/89.72276	302	342	129	1889	1956	381	1261	467	187	1518	859	1781	1678	518
2.735/90.80020	530	331	150	706	580	160	909	221	219	621	539	1628	1134	516
2.740/90.88267	928	170	120	1184	1835	636	1674	361	206	1262	841	2375	1051	2014
2.744/90.96832	667	237	150	380	1553	313	1657	253	167	922	488	1896	1860	893
2.744/91.23492	299	246	0	1332	714	212	2044	305	103	453	246	923	250	729
2.735/92.41173	234	152	90	1206	328	205	912	164	116	1029	169	1017	813	314
2.744/92.44605	193	200	90	1214	592	115	949	278	180	694	169	711	651	328
2.744/92.48775	234	342	0	311	1231	203	355	214	77	508	145	351	584	1153
0.544/92.92772	814	1161	1553	0	0	442	622	309	1684	0	382	501	60	722
2.769/93.64494	145	114	90	164	223	89	367	102	0	2922	121	316	160	49
2.769/93.77409	268	143	0	82	162	0	238	76	180	1343	48	325	306	118
2.769/93.96210	0	0	0	54	170	0	168	0	0	1854	0	172	80	0
0.550/94.98092	11335	9307	8464	10379	8178	9488	7123	10618	6986	7769	9956	7157	8583	9203
0.461/96.66220	3898	2795	3707	3328	4084	3305	3825	3165	3497	3221	4040	3460	4159	3520
0.614/96.96004	6010	6531	6199	4774	4744	4255	4567	4240	4200	4078	4990	4980	4453	4232
0.460/96.96090	693342	695194	737110	636329	641526	643606	624647	641159	708245	561001	677617	568945	582014	649794
0.734/98.02592	2357	1740	1520	2861	4516	1986	1559	3308	1880	889	2091	2131	2004	2250
0.460/98.95654	22500	24096	25564	21609	21792	24634	21133	25820	24134	20383	24888	21365	21164	22433
0.734/100.04023	7852	8406	5237	8157	9685	9200	6442	7750	6280	5481	8602	11319	9556	10581
0.953/101.06155	891	717	1124	1074	1114	1175	890	741	2179	954	362	1314	1084	1290
0.557/102.05723	3822	3530	2836	4316	2306	3471	2571	4220	3368	2557	2595	2485	2116	3262
0.569/109.04171	2102	1064	924	1969	1218	1075	1857	837	1367	1845	1945	1182	1530	1008
0.451/111.00874	28444	30452	14592	39346	33794	23125	37893	23697	27712	48963	33286	42790	44967	41596
0.888/111.00922	4274	3507	4637	3827	3800	4251	4106	3970	5526	3350	3597	4198	3856	4640
0.554/111.94586	2981	4522	2447	2788	2651	3930	2871	3214	2914	2660	3463	2570	2475	2752
0.460/111.94687	10584	12947	11979	10002	9986	10529	8479	9270	11203	10102	9962	8679	10261	9491
0.585/112.63858	596	677	436	276	630	1842	304	678	552	577	316	344	287	453
0.863/112.98540	644	128	393	11	183	1779	111	283	0	197	69	0	28	263
0.585/112.98610	103171	94872	78883	55144	68376	262834	69342	91409	73832	77001	69531	59783	59898	86672
2.121/113.02470	751	1843	2391	367	79	982	431	1494	1370	392	257	566	372	621
0.554/113.03593	12809	7762	4690	13706	16434	9881	12397	9572	12508	14669	14344	10454	12190	10852
0.567/114.05587	48128	51053	43764	63059	55371	37512	45238	48523	47687	54619	35220	36527	39201	44403
2.277/114.05592	813	939	1341	1652	2263	699	820	1573	1165	2131	526	1300	1196	1377
0.460/115.00332	3755	4552	2918	2447	3531	1902	4690	2697	4324	2912	2376	3062	4842	3766
0.584/115.71340	1532	1372	1224	1949	1654	1203	1572	1110	1349	1256	1540	1620	2035	1322
1.060/116.01811	13205	17759	6214	9691	12328	4970	15148	9260	2940	14508	9916	21973	22743	12020
2.134/116.05069	16316	13370	11891	15001	19186	15407	13587	11604	8875	17183	14504	14552	16028	14110
0.585/116.07215	254074	240865	220810	306537	303418	187619	278328	214611	228887	274662	226299	272119	277142	234995
0.970/116.90670	4133	5918	6544	2285	3895	4854	2979	3306	5930	3454	2166	2620	3439	4373
0.568/116.97180	2201	2980	3937	1874	1898	1970	1400	2024	3578	1422	2461	1990	1274	2184
0.465/117.01930	5704	4247	3594	4651	3696	2727	4108	4408	2884	3633	3370	3642	4243	3536
1.069/118.01331	796	580	236	502	451	197	499	300	51	303	364	794	1063	575
