Sample	QC.1	AC9.3_I	AC9.3_II	AC9.1_II	AC9.1_III	pPTGE30_I	AC9.2_I	pPTGE30_II	AC9.3_III	AC9.1_I	pPTGE30_III	AC9.2_III	AC9.2_II	QC.2
Label	QC	AC9.3	AC9.3	AC9.1	AC9.1	E30	AC9.2	E30	AC9.3	AC9.1	E30	AC9.2	AC9.2	QC
2.526/50.01500	633	374	220	348	517	249	634	356	127	510	265	509	401	429
0.644/50.98821	927	736	897	799	729	968	849	774	1037	897	741	902	761	954
0.644/51.98497	606	747	542	398	570	560	532	581	545	474	415	770	567	524
0.641/53.01793	5061	5007	4956	4694	4688	4503	4702	4682	4867	4503	5022	6127	5112	4748
0.634/55.97422	9741	9551	8196	8486	7537	8181	9040	7662	8763	8088	8607	8738	7855	8334
1.074/56.04807	1905	1868	2116	1578	1958	1472	1556	2487	1291	2162	1857	2397	1982	1554
0.806/56.04897	2866	2600	2380	2543	2626	2695	2784	2742	3098	2981	2846	2467	3088	2644
1.236/56.04941	11427	9622	7281	10369	10606	8730	11045	10108	7489	7280	10578	10727	9764	9138
0.631/57.97151	1746	1683	1239	1529	1409	1464	1321	1394	1585	1380	1431	1384	1268	1151
0.927/58.06492	26889	26505	25515	22800	24172	26030	21836	27953	25124	20887	26372	24902	25750	20681
1.234/58.06502	23755	20600	16837	21940	22331	20052	22634	20689	14611	18920	21650	21487	23953	21144
0.660/58.95306	683	1374	362	1156	703	907	445	350	367	969	446	876	978	433
1.733/59.06014	11609	10700	9298	9737	10712	7384	8972	9782	6048	10710	6790	10585	10469	8987
2.714/59.06015	4330	3955	2888	4030	4359	2557	3570	3733	2287	4662	2504	3740	4291	3038
0.779/59.87527	1183	1161	861	1008	1116	1047	1086	996	969	1299	951	1053	1179	1132
0.856/59.96578	847	712	161	571	250	534	1023	574	877	202	862	431	232	273
0.777/60.05596	236823	228915	201143	230787	230303	211066	231003	220619	201105	204490	202399	198503	228379	218941
0.642/60.51143	1592	1351	1394	1324	1253	1215	1462	1449	1404	1391	1205	1499	1615	1486
0.864/61.00983	2438	3155	3145	3425	1724	2588	2337	2260	2046	2107	1891	2354	2669	1874
0.640/62.02377	1341	1432	1248	1289	1353	1246	1353	1400	1598	1463	1400	2557	1446	1524
0.863/63.02576	45029	42684	38995	38686	40023	36187	38206	32746	42212	35114	37073	37894	38436	40020
0.864/65.02146	2327	2214	2017	2321	1774	2366	2287	1889	2098	2154	1702	2313	2342	1784
1.021/65.03796	1143	771	119	1127	944	1345	1059	1097	420	1494	493	1880	953	876
0.623/66.01890	51961	46371	48012	46265	45463	45178	46874	48291	49527	45795	45803	48714	43700	45369
0.831/67.04126	1086	799	798	988	868	572	697	722	939	1006	803	830	950	823
0.642/67.52203	2681	2468	2324	2186	2294	2250	2223	2378	2187	2452	2634	2438	2403	2331
0.860/68.04858	787	995	358	1247	932	326	607	930	497	1044	876	398	244	634
0.623/68.98231	130879	130262	111415	119961	112131	121545	112781	115671	116605	97773	103026	105622	94050	96138
1.075/68.99689	3447	3984	2815	3821	2441	2234	3705	2172	2332	2717	2483	2657	3056	3189
0.830/68.99712	8786	10939	3395	7803	7674	5261	7785	4615	286	8189	3652	7829	7422	9001
1.595/69.06922	1299	1867	966	1210	1631	359	891	475	794	1578	452	1357	1283	1009
1.334/69.06961	4786	4745	4014	4256	4512	3925	4010	4073	3468	4029	3857	4351	4002	4151
1.596/70.06448	3669	3888	2837	4354	4002	1697	2733	2002	2808	4427	1609	3125	3263	3010
1.156/70.06472	8687	6861	4514	7082	7710	3677	6399	6053	6272	4789	5139	8231	8153	6541
0.853/70.06522	50332	30232	30070	65044	46197	39490	20669	42054	22462	66469	25141	18016	23342	51466
0.624/70.97956	13815	13436	12081	12137	10784	11820	11804	11548	11577	10191	11146	11766	10330	10023
0.969/72.08026	7565	9496	11304	6966	6813	7149	6431	6331	9398	6049	7370	6742	7442	5126
