Sample	True.blank.start	QC.1	AC9.3_I	AC9.3_II	AC9.1_II	AC9.1_III	pPTGE30_I	AC9.2_I	pPTGE30_II	AC9.3_III	AC9.1_I	pPTGE30_III	AC9.2_III	AC9.2_II	QC.2	True.blank.end	Single.blank
Label	BLANK	QC	AC9.3	AC9.3	AC9.1	AC9.1	pPTGE30	AC9.2	pPTGE30	AC9.3	AC9.1	pPTGE30	AC9.2	AC9.2	QC	BLANK	BLANK
2.526/50.01500	396	1821	1562	1408	1536	1705	1437	1822	1544	1315	1698	1453	1697	1589	1617	345	304
0.644/50.98821	0	927	736	897	799	729	968	849	774	1037	897	741	902	761	954	0	0
0.644/51.98497	116	999	1140	935	791	963	953	925	974	938	867	808	1163	960	917	110	131
2.552/53.00213	5374	5153	4652	5652	5155	3879	4039	3615	3434	4161	3316	3724	3108	3639	3416	3972	4795
0.815/53.00216	6396	4382	4503	3943	3610	3843	3712	3997	3823	6132	3879	4687	3119	3632	3880	4407	6851
1.369/53.00229	6562	11790	10204	10873	9894	11066	9489	10421	8650	10218	8830	8327	8527	9538	10137	4336	8940
2.460/53.00240	6527	7039	6107	6141	5220	5499	6114	5859	5593	5619	5729	4887	5006	5741	4625	4543	7470
0.641/53.01793	6	5106	5052	5001	4739	4733	4548	4747	4727	4912	4548	5067	6172	5157	4793	15	7
6.452/53.93854	1291	1195	1075	1151	1085	1002	984	977	915	955	941	920	942	852	1021	1008	1203
2.152/54.00839	21613	21797	17948	19393	17949	19805	20297	20410	19469	20492	20665	20035	22133	20463	21719	19632	18010
1.673/54.00848	20198	19836	16517	18686	17643	16553	18814	18054	17301	18206	18590	18310	20427	18948	19445	18626	17526
0.581/54.00852	20446	20632	18831	19845	21397	19368	20604	19183	20408	18271	19634	18016	20011	21781	18799	19428	21070
0.819/54.00853	21360	7216	6417	7471	5470	6202	6137	5507	5256	8532	6038	5377	5836	5832	5262	19309	20608
1.952/54.00858	20644	22448	17728	19190	18420	20951	21509	19250	20038	20155	21584	19040	21329	20877	21039	19264	18151
1.850/54.00859	20892	21087	17522	18264	17799	20926	19896	18432	20364	19499	20429	19706	20135	20038	21323	19314	18065
0.471/54.00860	20292	19621	18827	20021	19423	18811	20559	20253	20725	17728	19150	17859	18607	19555	18563	19819	20375
5.177/54.00863	12002	9142	7193	9371	10974	9518	11186	9573	10078	9797	9958	9838	8596	9845	8143	10096	6019
2.960/54.00864	34067	15173	14543	15507	15145	15485	16757	16799	13175	15686	15733	17299	16292	13404	15005	32630	33172
3.185/54.00867	33298	19612	27271	19821	30540	30333	30457	31069	26119	24607	31762	31033	28076	25286	26648	33422	33042
2.654/54.00868	32689	19972	16527	15905	14807	15256	18658	19634	15622	18051	16334	17102	18910	15972	15325	30248	30835
4.127/54.00869	29207	26288	27974	25310	26876	25099	24398	28146	23743	25799	24047	27744	24727	23575	22209	26274	28241
6.390/54.00877	27352	27500	24828	24803	23786	25876	26853	21307	27040	23840	24912	23054	24515	25010	21947	24035	26901
3.281/54.00879	34755	27575	29429	28449	30704	30333	31544	33150	26119	27682	29882	30937	29542	26900	28118	32106	34175
3.794/54.00883	32871	29658	31403	29362	29164	27914	29133	32855	24844	28929	27418	29942	28764	26229	26554	29868	32420
6.606/54.00885	40365	41332	37568	37898	35670	36596	39312	31532	36419	34380	36465	34123	36335	37520	33477	37046	37808
