Metabolite	Clone1	Clone2	log2FC	plotContrast	Regulation	AnalysisMode	Method	Posthoc	statistic	ANOVA_p.value	ANOVA_padj	pvalue_posthoc	Deregulation
2.829/58.06264	AC9.1	E30	-0.073457	AC9.1 vs E30	No	HILIC_Positive	ANOVA	NA	0.8803530492696484	0.4909370056155884	1	1	No
2.829/58.06264	AC9.2	E30	-0.1409	AC9.2 vs E30	No	HILIC_Positive	ANOVA	NA	0.8803530492696484	0.4909370056155884	1	1	No
2.829/58.06264	AC9.3	E30	-0.074882	AC9.3 vs E30	No	HILIC_Positive	ANOVA	NA	0.8803530492696484	0.4909370056155884	1	1	No
2.829/58.06264	AC9.1	AC9.3	0.0014242	AC9.1 vs AC9.3	No	HILIC_Positive	ANOVA	NA	0.8803530492696484	0.4909370056155884	1	1	No
2.829/58.06264	AC9.2	AC9.3	-0.066015	AC9.2 vs AC9.3	No	HILIC_Positive	ANOVA	NA	0.8803530492696484	0.4909370056155884	1	1	No
2.829/58.06264	AC9.1	AC9.2	0.067439	AC9.1 vs AC9.2	No	HILIC_Positive	ANOVA	NA	0.8803530492696484	0.4909370056155884	1	1	No
2.580/58.06266	AC9.1	E30	-0.12557	AC9.1 vs E30	No	HILIC_Positive	ANOVA	NA	1.568778390604566	0.27107374754665636	1	1	No
2.580/58.06266	AC9.2	E30	-0.038437	AC9.2 vs E30	No	HILIC_Positive	ANOVA	NA	1.568778390604566	0.27107374754665636	1	1	No
2.580/58.06266	AC9.3	E30	0.046442	AC9.3 vs E30	No	HILIC_Positive	ANOVA	NA	1.568778390604566	0.27107374754665636	1	1	No
2.580/58.06266	AC9.1	AC9.3	-0.17202	AC9.1 vs AC9.3	No	HILIC_Positive	ANOVA	NA	1.568778390604566	0.27107374754665636	1	1	No
2.580/58.06266	AC9.2	AC9.3	-0.084879	AC9.2 vs AC9.3	No	HILIC_Positive	ANOVA	NA	1.568778390604566	0.27107374754665636	1	1	No
2.580/58.06266	AC9.1	AC9.2	-0.087137	AC9.1 vs AC9.2	No	HILIC_Positive	ANOVA	NA	1.568778390604566	0.27107374754665636	1	1	No
2.474/58.06287	AC9.1	E30	-0.2744	AC9.1 vs E30	No	HILIC_Positive	ANOVA	NA	0.30908080444454217	0.8184293390932256	1	1	No
2.474/58.06287	AC9.2	E30	-0.22152	AC9.2 vs E30	No	HILIC_Positive	ANOVA	NA	0.30908080444454217	0.8184293390932256	1	1	No
2.474/58.06287	AC9.3	E30	-0.1838	AC9.3 vs E30	No	HILIC_Positive	ANOVA	NA	0.30908080444454217	0.8184293390932256	1	1	No
2.474/58.06287	AC9.1	AC9.3	-0.090593	AC9.1 vs AC9.3	No	HILIC_Positive	ANOVA	NA	0.30908080444454217	0.8184293390932256	1	1	No
2.474/58.06287	AC9.2	AC9.3	-0.037717	AC9.2 vs AC9.3	No	HILIC_Positive	ANOVA	NA	0.30908080444454217	0.8184293390932256	1	1	No
2.474/58.06287	AC9.1	AC9.2	-0.052876	AC9.1 vs AC9.2	No	HILIC_Positive	ANOVA	NA	0.30908080444454217	0.8184293390932256	1	1	No
1.388/58.06314	AC9.1	E30	0.358	AC9.1 vs E30	No	HILIC_Positive	ANOVA	Tukey's test	14.48874616885931	0.00134428171468935	1	0.00933760219817063	No
1.388/58.06314	AC9.2	E30	0.43786	AC9.2 vs E30	No	HILIC_Positive	ANOVA	Tukey's test	14.48874616885931	0.00134428171468935	1	0.00307185324633535	No
1.388/58.06314	AC9.3	E30	0.47293	AC9.3 vs E30	No	HILIC_Positive	ANOVA	Tukey's test	14.48874616885931	0.00134428171468935	1	0.00222491145017582	No
1.388/58.06314	AC9.1	AC9.3	-0.11493	AC9.1 vs AC9.3	No	HILIC_Positive	ANOVA	Tukey's test	14.48874616885931	0.00134428171468935	1	0.5210051862396491	No
1.388/58.06314	AC9.2	AC9.3	-0.035077	AC9.2 vs AC9.3	No	HILIC_Positive	ANOVA	Tukey's test	14.48874616885931	0.00134428171468935	1	0.6744654557776828	No
1.388/58.06314	AC9.1	AC9.2	-0.079858	AC9.1 vs AC9.2	No	HILIC_Positive	ANOVA	Tukey's test	14.48874616885931	0.00134428171468935	1	0.6422421675903826	No
3.641/60.05345	AC9.1	E30	1.4593	AC9.1 vs E30	No	HILIC_Positive	ANOVA	Tukey's test	14.661271247518716	0.00129245455011466	1	0.00311331780171588	No
3.641/60.05345	AC9.2	E30	1.06	AC9.2 vs E30	No	HILIC_Positive	ANOVA	Tukey's test	14.661271247518716	0.00129245455011466	1	0.01462448196158362	No
