Metabolite Clone1 Clone2 log2FC plotContrast
4.839/53.00033 AC9.1 E30 0.1049 "AC9.1 vs E30"
4.839/53.00033 AC9.2 E30 -0.088362 "AC9.2 vs E30"
4.839/53.00033 AC9.3 E30 0.15243 "AC9.3 vs E30"
4.839/53.00033 AC9.1 AC9.3 -0.047534 "AC9.1 vs AC9.3"
4.839/53.00033 AC9.2 AC9.3 -0.24079 "AC9.2 vs AC9.3"
4.839/53.00033 AC9.1 AC9.2 0.19326 "AC9.1 vs AC9.2"
4.610/56.04683 AC9.1 E30 -0.04002 "AC9.1 vs E30"
4.610/56.04683 AC9.2 E30 -0.36896 "AC9.2 vs E30"
4.610/56.04683 AC9.3 E30 0.3989 "AC9.3 vs E30"
4.610/56.04683 AC9.1 AC9.3 -0.43892 "AC9.1 vs AC9.3"
4.610/56.04683 AC9.2 AC9.3 -0.76786 "AC9.2 vs AC9.3"
4.610/56.04683 AC9.1 AC9.2 0.32894 "AC9.1 vs AC9.2"
4.738/56.04706 AC9.1 E30 -0.0030336 "AC9.1 vs E30"
4.738/56.04706 AC9.2 E30 -0.19823 "AC9.2 vs E30"
4.738/56.04706 AC9.3 E30 -0.16619 "AC9.3 vs E30"
4.738/56.04706 AC9.1 AC9.3 0.16316 "AC9.1 vs AC9.3"
4.738/56.04706 AC9.2 AC9.3 -0.032044 "AC9.2 vs AC9.3"
4.738/56.04706 AC9.1 AC9.2 0.1952 "AC9.1 vs AC9.2"
4.281/56.04720 AC9.1 E30 -0.50543 "AC9.1 vs E30"
4.281/56.04720 AC9.2 E30 -0.21038 "AC9.2 vs E30"
4.281/56.04720 AC9.3 E30 -0.40692 "AC9.3 vs E30"
4.281/56.04720 AC9.1 AC9.3 -0.098509 "AC9.1 vs AC9.3"
4.281/56.04720 AC9.2 AC9.3 0.19654 "AC9.2 vs AC9.3"
4.281/56.04720 AC9.1 AC9.2 -0.29505 "AC9.1 vs AC9.2"
0.752/58.06255 AC9.1 E30 -0.44521 "AC9.1 vs E30"
0.752/58.06255 AC9.2 E30 -0.57195 "AC9.2 vs E30"
0.752/58.06255 AC9.3 E30 -1.0186 "AC9.3 vs E30"
0.752/58.06255 AC9.1 AC9.3 0.5734 "AC9.1 vs AC9.3"
0.752/58.06255 AC9.2 AC9.3 0.44665 "AC9.2 vs AC9.3"
0.752/58.06255 AC9.1 AC9.2 0.12675 "AC9.1 vs AC9.2"
2.829/58.06264 AC9.1 E30 -0.10237 "AC9.1 vs E30"
2.829/58.06264 AC9.2 E30 -0.15338 "AC9.2 vs E30"
2.829/58.06264 AC9.3 E30 -0.11679 "AC9.3 vs E30"
2.829/58.06264 AC9.1 AC9.3 0.014424 "AC9.1 vs AC9.3"
2.829/58.06264 AC9.2 AC9.3 -0.036588 "AC9.2 vs AC9.3"
2.829/58.06264 AC9.1 AC9.2 0.051012 "AC9.1 vs AC9.2"
2.580/58.06266 AC9.1 E30 -0.1555 "AC9.1 vs E30"
2.580/58.06266 AC9.2 E30 -0.051331 "AC9.2 vs E30"
2.580/58.06266 AC9.3 E30 0.0076008 "AC9.3 vs E30"
2.580/58.06266 AC9.1 AC9.3 -0.1631 "AC9.1 vs AC9.3"
2.580/58.06266 AC9.2 AC9.3 -0.058931 "AC9.2 vs AC9.3"
2.580/58.06266 AC9.1 AC9.2 -0.10417 "AC9.1 vs AC9.2"
2.474/58.06287 AC9.1 E30 -0.30295 "AC9.1 vs E30"
2.474/58.06287 AC9.2 E30 -0.23435 "AC9.2 vs E30"
2.474/58.06287 AC9.3 E30 -0.23665 "AC9.3 vs E30"
2.474/58.06287 AC9.1 AC9.3 -0.066296 "AC9.1 vs AC9.3"
2.474/58.06287 AC9.2 AC9.3 0.0023008 "AC9.2 vs AC9.3"
2.474/58.06287 AC9.1 AC9.2 -0.068597 "AC9.1 vs AC9.2"
1.388/58.06314 AC9.1 E30 0.32841 "AC9.1 vs E30"
1.388/58.06314 AC9.2 E30 0.42555 "AC9.2 vs E30"
1.388/58.06314 AC9.3 E30 0.43133 "AC9.3 vs E30"
1.388/58.06314 AC9.1 AC9.3 -0.10292 "AC9.1 vs AC9.3"
1.388/58.06314 AC9.2 AC9.3 -0.0057805 "AC9.2 vs AC9.3"
1.388/58.06314 AC9.1 AC9.2 -0.097139 "AC9.1 vs AC9.2"
1.843/59.05799 AC9.1 E30 0.1277 "AC9.1 vs E30"
1.843/59.05799 AC9.2 E30 0.082397 "AC9.2 vs E30"
1.843/59.05799 AC9.3 E30 -0.052003 "AC9.3 vs E30"
1.843/59.05799 AC9.1 AC9.3 0.1797 "AC9.1 vs AC9.3"
1.843/59.05799 AC9.2 AC9.3 0.1344 "AC9.2 vs AC9.3"
1.843/59.05799 AC9.1 AC9.2 0.045301 "AC9.1 vs AC9.2"
1.980/59.05812 AC9.1 E30 0.08899 "AC9.1 vs E30"
1.980/59.05812 AC9.2 E30 -0.11281 "AC9.2 vs E30"
1.980/59.05812 AC9.3 E30 -0.17327 "AC9.3 vs E30"
1.980/59.05812 AC9.1 AC9.3 0.26226 "AC9.1 vs AC9.3"
1.980/59.05812 AC9.2 AC9.3 0.060461 "AC9.2 vs AC9.3"
1.980/59.05812 AC9.1 AC9.2 0.2018 "AC9.1 vs AC9.2"
4.724/60.05267 AC9.1 E30 0.059836 "AC9.1 vs E30"
4.724/60.05267 AC9.2 E30 0.18588 "AC9.2 vs E30"
4.724/60.05267 AC9.3 E30 0.24875 "AC9.3 vs E30"
4.724/60.05267 AC9.1 AC9.3 -0.18891 "AC9.1 vs AC9.3"
4.724/60.05267 AC9.2 AC9.3 -0.062865 "AC9.2 vs AC9.3"
4.724/60.05267 AC9.1 AC9.2 -0.12605 "AC9.1 vs AC9.2"
3.641/60.05345 AC9.1 E30 1.4311 "AC9.1 vs E30"
3.641/60.05345 AC9.2 E30 1.0477 "AC9.2 vs E30"
3.641/60.05345 AC9.3 E30 0.17824 "AC9.3 vs E30"
3.641/60.05345 AC9.1 AC9.3 1.2528 "AC9.1 vs AC9.3"
3.641/60.05345 AC9.2 AC9.3 0.86949 "AC9.2 vs AC9.3"
3.641/60.05345 AC9.1 AC9.2 0.38334 "AC9.1 vs AC9.2"
4.374/60.07806 AC9.1 E30 0.21355 "AC9.1 vs E30"
4.374/60.07806 AC9.2 E30 0.063986 "AC9.2 vs E30"
4.374/60.07806 AC9.3 E30 -0.029001 "AC9.3 vs E30"
4.374/60.07806 AC9.1 AC9.3 0.24255 "AC9.1 vs AC9.3"
4.374/60.07806 AC9.2 AC9.3 0.092987 "AC9.2 vs AC9.3"
4.374/60.07806 AC9.1 AC9.2 0.14957 "AC9.1 vs AC9.2"
2.391/60.07810 AC9.1 E30 -0.22972 "AC9.1 vs E30"
2.391/60.07810 AC9.2 E30 -0.21859 "AC9.2 vs E30"
2.391/60.07810 AC9.3 E30 -0.078508 "AC9.3 vs E30"
2.391/60.07810 AC9.1 AC9.3 -0.15121 "AC9.1 vs AC9.3"
2.391/60.07810 AC9.2 AC9.3 -0.14008 "AC9.2 vs AC9.3"
2.391/60.07810 AC9.1 AC9.2 -0.011132 "AC9.1 vs AC9.2"
1.385/60.07852 AC9.1 E30 -0.36314 "AC9.1 vs E30"
1.385/60.07852 AC9.2 E30 -0.28601 "AC9.2 vs E30"
1.385/60.07852 AC9.3 E30 -0.23341 "AC9.3 vs E30"
1.385/60.07852 AC9.1 AC9.3 -0.12973 "AC9.1 vs AC9.3"
1.385/60.07852 AC9.2 AC9.3 -0.052605 "AC9.2 vs AC9.3"
1.385/60.07852 AC9.1 AC9.2 -0.077126 "AC9.1 vs AC9.2"
2.235/63.02369 AC9.1 E30 -0.053297 "AC9.1 vs E30"
2.235/63.02369 AC9.2 E30 0.084545 "AC9.2 vs E30"
2.235/63.02369 AC9.3 E30 0.069082 "AC9.3 vs E30"
2.235/63.02369 AC9.1 AC9.3 -0.12238 "AC9.1 vs AC9.3"
2.235/63.02369 AC9.2 AC9.3 0.015463 "AC9.2 vs AC9.3"
2.235/63.02369 AC9.1 AC9.2 -0.13784 "AC9.1 vs AC9.2"
2.136/63.02379 AC9.1 E30 -0.016121 "AC9.1 vs E30"
2.136/63.02379 AC9.2 E30 0.073802 "AC9.2 vs E30"
2.136/63.02379 AC9.3 E30 0.018578 "AC9.3 vs E30"
2.136/63.02379 AC9.1 AC9.3 -0.034699 "AC9.1 vs AC9.3"
2.136/63.02379 AC9.2 AC9.3 0.055224 "AC9.2 vs AC9.3"
2.136/63.02379 AC9.1 AC9.2 -0.089923 "AC9.1 vs AC9.2"
2.118/65.01964 AC9.1 E30 -0.25612 "AC9.1 vs E30"
2.118/65.01964 AC9.2 E30 0.18992 "AC9.2 vs E30"
2.118/65.01964 AC9.3 E30 -0.0097164 "AC9.3 vs E30"
2.118/65.01964 AC9.1 AC9.3 -0.2464 "AC9.1 vs AC9.3"
2.118/65.01964 AC9.2 AC9.3 0.19963 "AC9.2 vs AC9.3"
2.118/65.01964 AC9.1 AC9.2 -0.44603 "AC9.1 vs AC9.2"
5.535/66.01626 AC9.1 E30 0.019353 "AC9.1 vs E30"
5.535/66.01626 AC9.2 E30 -0.063798 "AC9.2 vs E30"
5.535/66.01626 AC9.3 E30 0.10675 "AC9.3 vs E30"
5.535/66.01626 AC9.1 AC9.3 -0.087399 "AC9.1 vs AC9.3"
5.535/66.01626 AC9.2 AC9.3 -0.17055 "AC9.2 vs AC9.3"
5.535/66.01626 AC9.1 AC9.2 0.083151 "AC9.1 vs AC9.2"
4.736/67.05180 AC9.1 E30 0.030283 "AC9.1 vs E30"
4.736/67.05180 AC9.2 E30 0.35528 "AC9.2 vs E30"
4.736/67.05180 AC9.3 E30 0.26596 "AC9.3 vs E30"
4.736/67.05180 AC9.1 AC9.3 -0.23568 "AC9.1 vs AC9.3"
4.736/67.05180 AC9.2 AC9.3 0.089313 "AC9.2 vs AC9.3"
4.736/67.05180 AC9.1 AC9.2 -0.32499 "AC9.1 vs AC9.2"
4.834/68.04637 AC9.1 E30 -0.030533 "AC9.1 vs E30"
4.834/68.04637 AC9.2 E30 -0.2395 "AC9.2 vs E30"
4.834/68.04637 AC9.3 E30 0.039718 "AC9.3 vs E30"
4.834/68.04637 AC9.1 AC9.3 -0.070251 "AC9.1 vs AC9.3"
4.834/68.04637 AC9.2 AC9.3 -0.27922 "AC9.2 vs AC9.3"
4.834/68.04637 AC9.1 AC9.2 0.20897 "AC9.1 vs AC9.2"
5.514/68.97974 AC9.1 E30 -0.019561 "AC9.1 vs E30"
5.514/68.97974 AC9.2 E30 -0.11792 "AC9.2 vs E30"
