Metabolite Clone1 Clone2 log2FC plotContrast
2.710/50.38539 AC9.1 E30 -0.53842 "AC9.1 vs E30"
2.710/50.38539 AC9.2 E30 -0.56713 "AC9.2 vs E30"
2.710/50.38539 AC9.3 E30 -1.1887 "AC9.3 vs E30"
2.710/50.38539 AC9.1 AC9.3 0.65029 "AC9.1 vs AC9.3"
2.710/50.38539 AC9.2 AC9.3 0.62158 "AC9.2 vs AC9.3"
2.710/50.38539 AC9.1 AC9.2 0.028704 "AC9.1 vs AC9.2"
2.702/50.58127 AC9.1 E30 -0.39493 "AC9.1 vs E30"
2.702/50.58127 AC9.2 E30 -0.25511 "AC9.2 vs E30"
2.702/50.58127 AC9.3 E30 -0.38669 "AC9.3 vs E30"
2.702/50.58127 AC9.1 AC9.3 -0.0082334 "AC9.1 vs AC9.3"
2.702/50.58127 AC9.2 AC9.3 0.13159 "AC9.2 vs AC9.3"
2.702/50.58127 AC9.1 AC9.2 -0.13982 "AC9.1 vs AC9.2"
2.705/50.63198 AC9.1 E30 0.15845 "AC9.1 vs E30"
2.705/50.63198 AC9.2 E30 0.82673 "AC9.2 vs E30"
2.705/50.63198 AC9.3 E30 -0.85786 "AC9.3 vs E30"
2.705/50.63198 AC9.1 AC9.3 1.0163 "AC9.1 vs AC9.3"
2.705/50.63198 AC9.2 AC9.3 1.6846 "AC9.2 vs AC9.3"
2.705/50.63198 AC9.1 AC9.2 -0.66828 "AC9.1 vs AC9.2"
2.710/50.68744 AC9.1 E30 -0.88997 "AC9.1 vs E30"
2.710/50.68744 AC9.2 E30 -0.19945 "AC9.2 vs E30"
2.710/50.68744 AC9.3 E30 -1.2048 "AC9.3 vs E30"
2.710/50.68744 AC9.1 AC9.3 0.31481 "AC9.1 vs AC9.3"
2.710/50.68744 AC9.2 AC9.3 1.0053 "AC9.2 vs AC9.3"
2.710/50.68744 AC9.1 AC9.2 -0.69052 "AC9.1 vs AC9.2"
2.710/50.73946 AC9.1 E30 -0.64582 "AC9.1 vs E30"
2.710/50.73946 AC9.2 E30 -0.14907 "AC9.2 vs E30"
2.710/50.73946 AC9.3 E30 -0.77691 "AC9.3 vs E30"
2.710/50.73946 AC9.1 AC9.3 0.13108 "AC9.1 vs AC9.3"
2.710/50.73946 AC9.2 AC9.3 0.62784 "AC9.2 vs AC9.3"
2.710/50.73946 AC9.1 AC9.2 -0.49675 "AC9.1 vs AC9.2"
0.552/57.97564 AC9.1 E30 1.8802 "AC9.1 vs E30"
0.552/57.97564 AC9.2 E30 -1.0915 "AC9.2 vs E30"
0.552/57.97564 AC9.3 E30 0.28929 "AC9.3 vs E30"
0.552/57.97564 AC9.1 AC9.3 1.5909 "AC9.1 vs AC9.3"
0.552/57.97564 AC9.2 AC9.3 -1.3808 "AC9.2 vs AC9.3"
0.552/57.97564 AC9.1 AC9.2 2.9717 "AC9.1 vs AC9.2"
0.546/61.98883 AC9.1 E30 -0.36588 "AC9.1 vs E30"
0.546/61.98883 AC9.2 E30 -0.34019 "AC9.2 vs E30"
0.546/61.98883 AC9.3 E30 0.35573 "AC9.3 vs E30"
0.546/61.98883 AC9.1 AC9.3 -0.7216 "AC9.1 vs AC9.3"
0.546/61.98883 AC9.2 AC9.3 -0.69592 "AC9.2 vs AC9.3"
0.546/61.98883 AC9.1 AC9.2 -0.025688 "AC9.1 vs AC9.2"
0.585/68.78572 AC9.1 E30 -1.7051 "AC9.1 vs E30"
0.585/68.78572 AC9.2 E30 -1.6773 "AC9.2 vs E30"
0.585/68.78572 AC9.3 E30 -1.159 "AC9.3 vs E30"
0.585/68.78572 AC9.1 AC9.3 -0.54613 "AC9.1 vs AC9.3"
0.585/68.78572 AC9.2 AC9.3 -0.51835 "AC9.2 vs AC9.3"
0.585/68.78572 AC9.1 AC9.2 -0.027779 "AC9.1 vs AC9.2"
0.585/68.99624 AC9.1 E30 -1.2843 "AC9.1 vs E30"
0.585/68.99624 AC9.2 E30 -1.448 "AC9.2 vs E30"
0.585/68.99624 AC9.3 E30 -0.76893 "AC9.3 vs E30"
0.585/68.99624 AC9.1 AC9.3 -0.5154 "AC9.1 vs AC9.3"
0.585/68.99624 AC9.2 AC9.3 -0.67912 "AC9.2 vs AC9.3"
0.585/68.99624 AC9.1 AC9.2 0.16372 "AC9.1 vs AC9.2"
0.587/71.01408 AC9.1 E30 -0.14405 "AC9.1 vs E30"
0.587/71.01408 AC9.2 E30 0.086675 "AC9.2 vs E30"
0.587/71.01408 AC9.3 E30 -0.48469 "AC9.3 vs E30"
0.587/71.01408 AC9.1 AC9.3 0.34064 "AC9.1 vs AC9.3"
0.587/71.01408 AC9.2 AC9.3 0.57136 "AC9.2 vs AC9.3"
0.587/71.01408 AC9.1 AC9.2 -0.23072 "AC9.1 vs AC9.2"
0.567/73.02956 AC9.1 E30 1.319 "AC9.1 vs E30"
0.567/73.02956 AC9.2 E30 1.4101 "AC9.2 vs E30"
0.567/73.02956 AC9.3 E30 2.5168 "AC9.3 vs E30"
0.567/73.02956 AC9.1 AC9.3 -1.1978 "AC9.1 vs AC9.3"
0.567/73.02956 AC9.2 AC9.3 -1.1066 "AC9.2 vs AC9.3"
0.567/73.02956 AC9.1 AC9.2 -0.091179 "AC9.1 vs AC9.2"
0.609/78.95925 AC9.1 E30 -0.10662 "AC9.1 vs E30"
0.609/78.95925 AC9.2 E30 0.14953 "AC9.2 vs E30"
0.609/78.95925 AC9.3 E30 0.17735 "AC9.3 vs E30"
0.609/78.95925 AC9.1 AC9.3 -0.28397 "AC9.1 vs AC9.3"
0.609/78.95925 AC9.2 AC9.3 -0.027825 "AC9.2 vs AC9.3"
0.609/78.95925 AC9.1 AC9.2 -0.25615 "AC9.1 vs AC9.2"
0.460/78.95929 AC9.1 E30 -0.99068 "AC9.1 vs E30"
0.460/78.95929 AC9.2 E30 -1.0458 "AC9.2 vs E30"
0.460/78.95929 AC9.3 E30 -1.3763 "AC9.3 vs E30"
0.460/78.95929 AC9.1 AC9.3 0.38565 "AC9.1 vs AC9.3"
0.460/78.95929 AC9.2 AC9.3 0.33052 "AC9.2 vs AC9.3"
0.460/78.95929 AC9.1 AC9.2 0.055129 "AC9.1 vs AC9.2"
0.551/79.95733 AC9.1 E30 -0.38909 "AC9.1 vs E30"
0.551/79.95733 AC9.2 E30 -0.38289 "AC9.2 vs E30"
0.551/79.95733 AC9.3 E30 -0.023045 "AC9.3 vs E30"
0.551/79.95733 AC9.1 AC9.3 -0.36605 "AC9.1 vs AC9.3"
0.551/79.95733 AC9.2 AC9.3 -0.35984 "AC9.2 vs AC9.3"
0.551/79.95733 AC9.1 AC9.2 -0.006204 "AC9.1 vs AC9.2"
0.460/79.95767 AC9.1 E30 -0.26955 "AC9.1 vs E30"
0.460/79.95767 AC9.2 E30 -0.25493 "AC9.2 vs E30"
0.460/79.95767 AC9.3 E30 0.15196 "AC9.3 vs E30"
0.460/79.95767 AC9.1 AC9.3 -0.42151 "AC9.1 vs AC9.3"
0.460/79.95767 AC9.2 AC9.3 -0.40688 "AC9.2 vs AC9.3"
0.460/79.95767 AC9.1 AC9.2 -0.014624 "AC9.1 vs AC9.2"
0.546/80.91650 AC9.1 E30 -0.52701 "AC9.1 vs E30"
0.546/80.91650 AC9.2 E30 0.0039427 "AC9.2 vs E30"
0.546/80.91650 AC9.3 E30 0.37529 "AC9.3 vs E30"
0.546/80.91650 AC9.1 AC9.3 -0.90231 "AC9.1 vs AC9.3"
0.546/80.91650 AC9.2 AC9.3 -0.37135 "AC9.2 vs AC9.3"
0.546/80.91650 AC9.1 AC9.2 -0.53095 "AC9.1 vs AC9.2"
0.467/81.95349 AC9.1 E30 -0.024796 "AC9.1 vs E30"
0.467/81.95349 AC9.2 E30 -0.023354 "AC9.2 vs E30"
0.467/81.95349 AC9.3 E30 0.41203 "AC9.3 vs E30"
0.467/81.95349 AC9.1 AC9.3 -0.43683 "AC9.1 vs AC9.3"
0.467/81.95349 AC9.2 AC9.3 -0.43538 "AC9.2 vs AC9.3"
0.467/81.95349 AC9.1 AC9.2 -0.0014425 "AC9.1 vs AC9.2"
0.552/85.02899 AC9.1 E30 0.055974 "AC9.1 vs E30"
0.552/85.02899 AC9.2 E30 -0.53018 "AC9.2 vs E30"
0.552/85.02899 AC9.3 E30 0.29143 "AC9.3 vs E30"
0.552/85.02899 AC9.1 AC9.3 -0.23545 "AC9.1 vs AC9.3"
0.552/85.02899 AC9.2 AC9.3 -0.8216 "AC9.2 vs AC9.3"
0.552/85.02899 AC9.1 AC9.2 0.58615 "AC9.1 vs AC9.2"
0.552/87.00858 AC9.1 E30 -0.35789 "AC9.1 vs E30"
0.552/87.00858 AC9.2 E30 -0.67202 "AC9.2 vs E30"
0.552/87.00858 AC9.3 E30 -0.63384 "AC9.3 vs E30"
0.552/87.00858 AC9.1 AC9.3 0.27596 "AC9.1 vs AC9.3"
0.552/87.00858 AC9.2 AC9.3 -0.038175 "AC9.2 vs AC9.3"
0.552/87.00858 AC9.1 AC9.2 0.31413 "AC9.1 vs AC9.2"
0.564/88.04074 AC9.1 E30 -0.14188 "AC9.1 vs E30"
0.564/88.04074 AC9.2 E30 -0.25169 "AC9.2 vs E30"
0.564/88.04074 AC9.3 E30 0.35771 "AC9.3 vs E30"
0.564/88.04074 AC9.1 AC9.3 -0.49959 "AC9.1 vs AC9.3"
0.564/88.04074 AC9.2 AC9.3 -0.6094 "AC9.2 vs AC9.3"
0.564/88.04074 AC9.1 AC9.2 0.1098 "AC9.1 vs AC9.2"
2.744/89.32633 AC9.1 E30 1.376 "AC9.1 vs E30"
2.744/89.32633 AC9.2 E30 1.6027 "AC9.2 vs E30"
2.744/89.32633 AC9.3 E30 -0.99888 "AC9.3 vs E30"
2.744/89.32633 AC9.1 AC9.3 2.3749 "AC9.1 vs AC9.3"
2.744/89.32633 AC9.2 AC9.3 2.6016 "AC9.2 vs AC9.3"
2.744/89.32633 AC9.1 AC9.2 -0.22669 "AC9.1 vs AC9.2"
2.735/89.67442 AC9.1 E30 1.0598 "AC9.1 vs E30"
2.735/89.67442 AC9.2 E30 1.739 "AC9.2 vs E30"
2.735/89.67442 AC9.3 E30 0.014046 "AC9.3 vs E30"
2.735/89.67442 AC9.1 AC9.3 1.0458 "AC9.1 vs AC9.3"
2.735/89.67442 AC9.2 AC9.3 1.7249 "AC9.2 vs AC9.3"
2.735/89.67442 AC9.1 AC9.2 -0.67911 "AC9.1 vs AC9.2"
2.735/90.80020 AC9.1 E30 0.8516 "AC9.1 vs E30"
2.735/90.80020 AC9.2 E30 1.837 "AC9.2 vs E30"
2.735/90.80020 AC9.3 E30 -0.4275 "AC9.3 vs E30"
2.735/90.80020 AC9.1 AC9.3 1.2791 "AC9.1 vs AC9.3"
2.735/90.80020 AC9.2 AC9.3 2.2645 "AC9.2 vs AC9.3"
2.735/90.80020 AC9.1 AC9.2 -0.98541 "AC9.1 vs AC9.2"
2.744/90.96832 AC9.1 E30 1.224 "AC9.1 vs E30"
2.744/90.96832 AC9.2 E30 2.2092 "AC9.2 vs E30"
2.744/90.96832 AC9.3 E30 -0.94763 "AC9.3 vs E30"
2.744/90.96832 AC9.1 AC9.3 2.1716 "AC9.1 vs AC9.3"
2.744/90.96832 AC9.2 AC9.3 3.1569 "AC9.2 vs AC9.3"
2.744/90.96832 AC9.1 AC9.2 -0.98521 "AC9.1 vs AC9.2"
2.735/92.41173 AC9.1 E30 2.0739 "AC9.1 vs E30"
2.735/92.41173 AC9.2 E30 2.2071 "AC9.2 vs E30"
2.735/92.41173 AC9.3 E30 -0.59456 "AC9.3 vs E30"
2.735/92.41173 AC9.1 AC9.3 2.6684 "AC9.1 vs AC9.3"
2.735/92.41173 AC9.2 AC9.3 2.8016 "AC9.2 vs AC9.3"
2.735/92.41173 AC9.1 AC9.2 -0.1332 "AC9.1 vs AC9.2"
0.544/92.92772 AC9.1 E30 -0.76983 "AC9.1 vs E30"
0.544/92.92772 AC9.2 E30 -0.1018 "AC9.2 vs E30"
0.544/92.92772 AC9.3 E30 1.2557 "AC9.3 vs E30"
0.544/92.92772 AC9.1 AC9.3 -2.0255 "AC9.1 vs AC9.3"
0.544/92.92772 AC9.2 AC9.3 -1.3575 "AC9.2 vs AC9.3"
0.544/92.92772 AC9.1 AC9.2 -0.66803 "AC9.1 vs AC9.2"
0.550/94.98092 AC9.1 E30 -0.3662 "AC9.1 vs E30"
0.550/94.98092 AC9.2 E30 -0.51919 "AC9.2 vs E30"
0.550/94.98092 AC9.3 E30 -0.27536 "AC9.3 vs E30"
0.550/94.98092 AC9.1 AC9.3 -0.090835 "AC9.1 vs AC9.3"
0.550/94.98092 AC9.2 AC9.3 -0.24383 "AC9.2 vs AC9.3"
0.550/94.98092 AC9.1 AC9.2 0.15299 "AC9.1 vs AC9.2"
0.461/96.66220 AC9.1 E30 -0.17395 "AC9.1 vs E30"
0.461/96.66220 AC9.2 E30 -0.0157 "AC9.2 vs E30"
0.461/96.66220 AC9.3 E30 -0.05991 "AC9.3 vs E30"
0.461/96.66220 AC9.1 AC9.3 -0.11404 "AC9.1 vs AC9.3"
0.461/96.66220 AC9.2 AC9.3 0.04421 "AC9.2 vs AC9.3"
0.461/96.66220 AC9.1 AC9.2 -0.15825 "AC9.1 vs AC9.2"
0.614/96.96004 AC9.1 E30 -0.17479 "AC9.1 vs E30"
0.614/96.96004 AC9.2 E30 -0.084513 "AC9.2 vs E30"
0.614/96.96004 AC9.3 E30 0.31225 "AC9.3 vs E30"
0.614/96.96004 AC9.1 AC9.3 -0.48704 "AC9.1 vs AC9.3"
0.614/96.96004 AC9.2 AC9.3 -0.39676 "AC9.2 vs AC9.3"
0.614/96.96004 AC9.1 AC9.2 -0.090279 "AC9.1 vs AC9.2"
0.460/96.96090 AC9.1 E30 -0.2784 "AC9.1 vs E30"
0.460/96.96090 AC9.2 E30 -0.27824 "AC9.2 vs E30"
0.460/96.96090 AC9.3 E30 0.13213 "AC9.3 vs E30"
0.460/96.96090 AC9.1 AC9.3 -0.41053 "AC9.1 vs AC9.3"
0.460/96.96090 AC9.2 AC9.3 -0.41037 "AC9.2 vs AC9.3"
0.460/96.96090 AC9.1 AC9.2 -1.562e-4 "AC9.1 vs AC9.2"
0.734/98.02592 AC9.1 E30 -0.018643 "AC9.1 vs E30"
0.734/98.02592 AC9.2 E30 -0.5013 "AC9.2 vs E30"
0.734/98.02592 AC9.3 E30 -0.50372 "AC9.3 vs E30"
0.734/98.02592 AC9.1 AC9.3 0.48508 "AC9.1 vs AC9.3"
0.734/98.02592 AC9.2 AC9.3 0.0024203 "AC9.2 vs AC9.3"
0.734/98.02592 AC9.1 AC9.2 0.48266 "AC9.1 vs AC9.2"
0.460/98.95654 AC9.1 E30 -0.42297 "AC9.1 vs E30"
0.460/98.95654 AC9.2 E30 -0.37639 "AC9.2 vs E30"
0.460/98.95654 AC9.3 E30 -0.021749 "AC9.3 vs E30"
0.460/98.95654 AC9.1 AC9.3 -0.40122 "AC9.1 vs AC9.3"
0.460/98.95654 AC9.2 AC9.3 -0.35464 "AC9.2 vs AC9.3"
0.460/98.95654 AC9.1 AC9.2 -0.046576 "AC9.1 vs AC9.2"
0.734/100.04023 AC9.1 E30 -0.32083 "AC9.1 vs E30"
0.734/100.04023 AC9.2 E30 -0.046196 "AC9.2 vs E30"
0.734/100.04023 AC9.3 E30 -0.37101 "AC9.3 vs E30"
0.734/100.04023 AC9.1 AC9.3 0.050174 "AC9.1 vs AC9.3"
0.734/100.04023 AC9.2 AC9.3 0.32481 "AC9.2 vs AC9.3"
0.734/100.04023 AC9.1 AC9.2 -0.27464 "AC9.1 vs AC9.2"
0.953/101.06155 AC9.1 E30 0.16846 "AC9.1 vs E30"
0.953/101.06155 AC9.2 E30 0.26664 "AC9.2 vs E30"
0.953/101.06155 AC9.3 E30 0.67421 "AC9.3 vs E30"
0.953/101.06155 AC9.1 AC9.3 -0.50574 "AC9.1 vs AC9.3"
0.953/101.06155 AC9.2 AC9.3 -0.40756 "AC9.2 vs AC9.3"
0.953/101.06155 AC9.1 AC9.2 -0.09818 "AC9.1 vs AC9.2"
0.557/102.05723 AC9.1 E30 -0.33064 "AC9.1 vs E30"
0.557/102.05723 AC9.2 E30 -0.64358 "AC9.2 vs E30"
0.557/102.05723 AC9.3 E30 -0.067921 "AC9.3 vs E30"
0.557/102.05723 AC9.1 AC9.3 -0.26272 "AC9.1 vs AC9.3"
0.557/102.05723 AC9.2 AC9.3 -0.57566 "AC9.2 vs AC9.3"
0.557/102.05723 AC9.1 AC9.2 0.31294 "AC9.1 vs AC9.2"
0.888/111.00922 AC9.1 E30 -0.28874 "AC9.1 vs E30"
0.888/111.00922 AC9.2 E30 -0.09159 "AC9.2 vs E30"
0.888/111.00922 AC9.3 E30 0.23458 "AC9.3 vs E30"
0.888/111.00922 AC9.1 AC9.3 -0.52332 "AC9.1 vs AC9.3"
0.888/111.00922 AC9.2 AC9.3 -0.32617 "AC9.2 vs AC9.3"
0.888/111.00922 AC9.1 AC9.2 -0.19715 "AC9.1 vs AC9.2"
0.554/111.94586 AC9.1 E30 -0.57415 "AC9.1 vs E30"
0.554/111.94586 AC9.2 E30 -0.55682 "AC9.2 vs E30"
0.554/111.94586 AC9.3 E30 -0.12091 "AC9.3 vs E30"
0.554/111.94586 AC9.1 AC9.3 -0.45324 "AC9.1 vs AC9.3"
0.554/111.94586 AC9.2 AC9.3 -0.43591 "AC9.2 vs AC9.3"
0.554/111.94586 AC9.1 AC9.2 -0.017336 "AC9.1 vs AC9.2"
0.460/111.94687 AC9.1 E30 -0.16936 "AC9.1 vs E30"
0.460/111.94687 AC9.2 E30 -0.25556 "AC9.2 vs E30"
0.460/111.94687 AC9.3 E30 0.27885 "AC9.3 vs E30"
0.460/111.94687 AC9.1 AC9.3 -0.44821 "AC9.1 vs AC9.3"
0.460/111.94687 AC9.2 AC9.3 -0.53441 "AC9.2 vs AC9.3"
0.460/111.94687 AC9.1 AC9.2 0.086202 "AC9.1 vs AC9.2"
0.585/112.63858 AC9.1 E30 -1.1257 "AC9.1 vs E30"
0.585/112.63858 AC9.2 E30 -1.7324 "AC9.2 vs E30"
0.585/112.63858 AC9.3 E30 -0.7731 "AC9.3 vs E30"
0.585/112.63858 AC9.1 AC9.3 -0.35263 "AC9.1 vs AC9.3"
0.585/112.63858 AC9.2 AC9.3 -0.95934 "AC9.2 vs AC9.3"
0.585/112.63858 AC9.1 AC9.2 0.60671 "AC9.1 vs AC9.2"
0.585/112.98610 AC9.1 E30 -1.2575 "AC9.1 vs E30"
