Metabolite Clone1 Clone2 log2FC plotContrast
0.644/50.98821 AC9.1 E30 -0.1998 "AC9.1 vs E30"
0.644/50.98821 AC9.2 E30 -0.10519 "AC9.2 vs E30"
0.644/50.98821 AC9.3 E30 0.094942 "AC9.3 vs E30"
0.644/50.98821 AC9.1 AC9.3 -0.29474 "AC9.1 vs AC9.3"
0.644/50.98821 AC9.2 AC9.3 -0.20013 "AC9.2 vs AC9.3"
0.644/50.98821 AC9.1 AC9.2 -0.094605 "AC9.1 vs AC9.2"
0.644/51.98497 AC9.1 E30 -0.2288 "AC9.1 vs E30"
0.644/51.98497 AC9.2 E30 0.037298 "AC9.2 vs E30"
0.644/51.98497 AC9.3 E30 0.1032 "AC9.3 vs E30"
0.644/51.98497 AC9.1 AC9.3 -0.332 "AC9.1 vs AC9.3"
0.644/51.98497 AC9.2 AC9.3 -0.065897 "AC9.2 vs AC9.3"
0.644/51.98497 AC9.1 AC9.2 -0.2661 "AC9.1 vs AC9.2"
0.641/53.01793 AC9.1 E30 -0.20726 "AC9.1 vs E30"
0.641/53.01793 AC9.2 E30 0.036524 "AC9.2 vs E30"
0.641/53.01793 AC9.3 E30 0.026551 "AC9.3 vs E30"
0.641/53.01793 AC9.1 AC9.3 -0.23381 "AC9.1 vs AC9.3"
0.641/53.01793 AC9.2 AC9.3 0.009973 "AC9.2 vs AC9.3"
0.641/53.01793 AC9.1 AC9.2 -0.24378 "AC9.1 vs AC9.2"
0.634/55.97422 AC9.1 E30 -0.19348 "AC9.1 vs E30"
0.634/55.97422 AC9.2 E30 -0.061834 "AC9.2 vs E30"
0.634/55.97422 AC9.3 E30 0.075416 "AC9.3 vs E30"
0.634/55.97422 AC9.1 AC9.3 -0.2689 "AC9.1 vs AC9.3"
0.634/55.97422 AC9.2 AC9.3 -0.13725 "AC9.2 vs AC9.3"
0.634/55.97422 AC9.1 AC9.2 -0.13165 "AC9.1 vs AC9.2"
1.074/56.04807 AC9.1 E30 -0.19245 "AC9.1 vs E30"
1.074/56.04807 AC9.2 E30 -0.093775 "AC9.2 vs E30"
1.074/56.04807 AC9.3 E30 -0.15566 "AC9.3 vs E30"
1.074/56.04807 AC9.1 AC9.3 -0.036794 "AC9.1 vs AC9.3"
1.074/56.04807 AC9.2 AC9.3 0.061885 "AC9.2 vs AC9.3"
1.074/56.04807 AC9.1 AC9.2 -0.098679 "AC9.1 vs AC9.2"
0.806/56.04897 AC9.1 E30 -0.1933 "AC9.1 vs E30"
0.806/56.04897 AC9.2 E30 -0.11984 "AC9.2 vs E30"
0.806/56.04897 AC9.3 E30 -0.058979 "AC9.3 vs E30"
0.806/56.04897 AC9.1 AC9.3 -0.13432 "AC9.1 vs AC9.3"
0.806/56.04897 AC9.2 AC9.3 -0.060864 "AC9.2 vs AC9.3"
0.806/56.04897 AC9.1 AC9.2 -0.073453 "AC9.1 vs AC9.2"
1.236/56.04941 AC9.1 E30 -0.2328 "AC9.1 vs E30"
1.236/56.04941 AC9.2 E30 -0.031553 "AC9.2 vs E30"
1.236/56.04941 AC9.3 E30 -0.3108 "AC9.3 vs E30"
1.236/56.04941 AC9.1 AC9.3 0.077997 "AC9.1 vs AC9.3"
1.236/56.04941 AC9.2 AC9.3 0.27925 "AC9.2 vs AC9.3"
1.236/56.04941 AC9.1 AC9.2 -0.20125 "AC9.1 vs AC9.2"
0.927/58.06492 AC9.1 E30 -0.39659 "AC9.1 vs E30"
0.927/58.06492 AC9.2 E30 -0.26257 "AC9.2 vs E30"
0.927/58.06492 AC9.3 E30 -0.086528 "AC9.3 vs E30"
0.927/58.06492 AC9.1 AC9.3 -0.31006 "AC9.1 vs AC9.3"
0.927/58.06492 AC9.2 AC9.3 -0.17604 "AC9.2 vs AC9.3"
0.927/58.06492 AC9.1 AC9.2 -0.13403 "AC9.1 vs AC9.2"
1.234/58.06502 AC9.1 E30 -0.15627 "AC9.1 vs E30"
1.234/58.06502 AC9.2 E30 -0.0050873 "AC9.2 vs E30"
1.234/58.06502 AC9.3 E30 -0.30678 "AC9.3 vs E30"
1.234/58.06502 AC9.1 AC9.3 0.15051 "AC9.1 vs AC9.3"
1.234/58.06502 AC9.2 AC9.3 0.30169 "AC9.2 vs AC9.3"
1.234/58.06502 AC9.1 AC9.2 -0.15118 "AC9.1 vs AC9.2"
1.733/59.06014 AC9.1 E30 0.21757 "AC9.1 vs E30"
1.733/59.06014 AC9.2 E30 0.21043 "AC9.2 vs E30"
1.733/59.06014 AC9.3 E30 0.075691 "AC9.3 vs E30"
1.733/59.06014 AC9.1 AC9.3 0.14188 "AC9.1 vs AC9.3"
1.733/59.06014 AC9.2 AC9.3 0.13474 "AC9.2 vs AC9.3"
1.733/59.06014 AC9.1 AC9.2 0.0071455 "AC9.1 vs AC9.2"
2.714/59.06015 AC9.1 E30 0.37904 "AC9.1 vs E30"
2.714/59.06015 AC9.2 E30 0.26178 "AC9.2 vs E30"
2.714/59.06015 AC9.3 E30 0.0032892 "AC9.3 vs E30"
2.714/59.06015 AC9.1 AC9.3 0.37575 "AC9.1 vs AC9.3"
2.714/59.06015 AC9.2 AC9.3 0.25849 "AC9.2 vs AC9.3"
2.714/59.06015 AC9.1 AC9.2 0.11726 "AC9.1 vs AC9.2"
0.779/59.87527 AC9.1 E30 -0.014979 "AC9.1 vs E30"
0.779/59.87527 AC9.2 E30 -0.0066264 "AC9.2 vs E30"
0.779/59.87527 AC9.3 E30 -0.040796 "AC9.3 vs E30"
0.779/59.87527 AC9.1 AC9.3 0.025817 "AC9.1 vs AC9.3"
0.779/59.87527 AC9.2 AC9.3 0.034169 "AC9.2 vs AC9.3"
0.779/59.87527 AC9.1 AC9.2 -0.0083525 "AC9.1 vs AC9.2"
0.777/60.05596 AC9.1 E30 -0.1092 "AC9.1 vs E30"
0.777/60.05596 AC9.2 E30 -0.078803 "AC9.2 vs E30"
0.777/60.05596 AC9.3 E30 -0.040781 "AC9.3 vs E30"
0.777/60.05596 AC9.1 AC9.3 -0.068417 "AC9.1 vs AC9.3"
0.777/60.05596 AC9.2 AC9.3 -0.038023 "AC9.2 vs AC9.3"
0.777/60.05596 AC9.1 AC9.2 -0.030395 "AC9.1 vs AC9.2"
0.642/60.51143 AC9.1 E30 -0.12885 "AC9.1 vs E30"
0.642/60.51143 AC9.2 E30 0.12047 "AC9.2 vs E30"
0.642/60.51143 AC9.3 E30 0.077412 "AC9.3 vs E30"
0.642/60.51143 AC9.1 AC9.3 -0.20627 "AC9.1 vs AC9.3"
0.642/60.51143 AC9.2 AC9.3 0.04306 "AC9.2 vs AC9.3"
0.642/60.51143 AC9.1 AC9.2 -0.24933 "AC9.1 vs AC9.2"
0.864/61.00983 AC9.1 E30 -0.082697 "AC9.1 vs E30"
0.864/61.00983 AC9.2 E30 -0.028203 "AC9.2 vs E30"
0.864/61.00983 AC9.3 E30 0.19195 "AC9.3 vs E30"
0.864/61.00983 AC9.1 AC9.3 -0.27465 "AC9.1 vs AC9.3"
0.864/61.00983 AC9.2 AC9.3 -0.22015 "AC9.2 vs AC9.3"
0.864/61.00983 AC9.1 AC9.2 -0.054494 "AC9.1 vs AC9.2"
0.640/62.02377 AC9.1 E30 -0.15434 "AC9.1 vs E30"
0.640/62.02377 AC9.2 E30 0.23063 "AC9.2 vs E30"
0.640/62.02377 AC9.3 E30 0.039995 "AC9.3 vs E30"
0.640/62.02377 AC9.1 AC9.3 -0.19434 "AC9.1 vs AC9.3"
0.640/62.02377 AC9.2 AC9.3 0.19064 "AC9.2 vs AC9.3"
0.640/62.02377 AC9.1 AC9.2 -0.38497 "AC9.1 vs AC9.2"
0.863/63.02576 AC9.1 E30 -0.073403 "AC9.1 vs E30"
0.863/63.02576 AC9.2 E30 -0.018414 "AC9.2 vs E30"
0.863/63.02576 AC9.3 E30 0.18833 "AC9.3 vs E30"
0.863/63.02576 AC9.1 AC9.3 -0.26174 "AC9.1 vs AC9.3"
0.863/63.02576 AC9.2 AC9.3 -0.20675 "AC9.2 vs AC9.3"
0.863/63.02576 AC9.1 AC9.2 -0.054989 "AC9.1 vs AC9.2"
0.864/65.02146 AC9.1 E30 -0.093213 "AC9.1 vs E30"
0.864/65.02146 AC9.2 E30 0.10007 "AC9.2 vs E30"
0.864/65.02146 AC9.3 E30 0.058545 "AC9.3 vs E30"
