AnalysisMode	Contrast	plotContrast	Metabolite	Ratio_Change	FoldChange	pValue	padj
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.710/50.38539	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.702/50.58127	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.705/50.63198	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.710/50.68744	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.710/50.73946	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.552/57.97564	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.546/61.98883	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.585/68.78572	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.585/68.99624	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.587/71.01408	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.567/73.02956	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.609/78.95925	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.460/78.95929	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.551/79.95733	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.460/79.95767	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.546/80.91650	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.467/81.95349	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.552/85.02899	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.552/87.00858	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.564/88.04074	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.744/89.32633	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.735/89.67442	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.735/90.80020	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.744/90.96832	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.735/92.41173	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.544/92.92772	0.30572640873807416	-1.7096869168532736	0.0020161290322580645	0
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.769/93.96210	3.0175536092839	1.593379401853869	0.027016129032258064	0
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.550/94.98092	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.461/96.66220	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.614/96.96004	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.460/96.96090	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.734/98.02592	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.460/98.95654	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.734/100.04023	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.557/102.05723	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.888/111.00922	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.554/111.94586	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.460/111.94687	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.585/112.63858	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.585/112.98610	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	2.121/113.02470	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.554/113.03593	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.567/114.05587	NA	NA	NA	NA
RP_Negative	AC9.1_v_E30	AC9.1 vs E30	0.460/115.00332	NA	NA	NA	NA
