"","Fold Change","log2(FC)"
"6.007/429.19286",0.00031719,-11.622
"0.569/704.54347",0.003925,-7.9931
"1.269/270.01594",0.0039437,-7.9863
"3.671/267.11228",0.0052939,-7.5615
"4.481/349.97607",0.0053001,-7.5598
"5.043/627.34693",99.775,6.6406
"3.674/290.06889",99.109,6.6309
"3.683/304.12032",94.729,6.5657
"0.635/547.48386",0.010835,-6.5282
"3.673/144.10086",86.761,6.439
"0.627/421.77345",0.011561,-6.4345
"3.680/274.10888",83.893,6.3905
"1.277/379.91076",0.012017,-6.3788
"5.402/442.97357",81.713,6.3525
"1.994/144.10112",64.562,6.0126
"0.633/788.55933",0.021092,-5.5672
"4.441/99.08926",0.021514,-5.5386
"2.077/278.14612",44.757,5.484
"0.752/490.30020",0.024641,-5.3428
"1.992/263.19987",40.22,5.3299
"0.635/807.47334",0.025132,-5.3143
"0.694/395.70561",0.025604,-5.2875
"2.310/424.12921",38.806,5.2782
"1.998/182.05780",38.482,5.2661
"0.635/309.24632",0.026435,-5.2414
"0.685/417.71968",0.026753,-5.2242
"0.752/511.23064",0.026886,-5.217
"4.560/733.29565",0.027114,-5.2048
"0.635/607.45379",0.028126,-5.1519
"4.918/386.73292",0.028899,-5.1128
"3.677/221.99404",32.991,5.044
"0.507/804.60916",0.031167,-5.0039
"0.510/794.56479",0.031549,-4.9862
"0.602/816.52332",0.033191,-4.9131
"3.671/123.07254",0.033802,-4.8867
"3.671/265.11646",0.033886,-4.8832
"4.621/341.22583",0.034392,-4.8618
"1.023/352.13229",28.845,4.8503
"0.740/168.10359",0.03561,-4.8116
"4.494/515.18631",27.974,4.806
"3.677/144.04646",0.035792,-4.8042
"0.510/768.54677",0.037317,-4.744
"1.105/521.47075",0.037347,-4.7429
"3.677/122.06984",0.03805,-4.716
"0.710/216.23345",26.053,4.7034
"0.669/439.73290",0.038876,-4.685
"0.644/583.29371",0.03961,-4.658
"2.510/260.37129",24.587,4.6198
"2.060/158.11632",24.23,4.5987
"2.306/292.16097",24.199,4.5969
"0.635/305.21665",0.042455,-4.5579
"4.358/183.16083",0.043012,-4.5391
"4.569/581.82902",0.043215,-4.5323
"2.494/287.20054",23.124,4.5313
"4.456/328.17251",0.043882,-4.5102
"0.719/351.20937",0.044269,-4.4975
"0.719/414.28038",0.046107,-4.4389
"0.760/467.20170",0.047135,-4.407
"1.277/574.99336",0.048074,-4.3786
"3.648/100.07335",0.048879,-4.3547
"3.678/158.03948",20.319,4.3448
"4.544/348.17784",0.051449,-4.2807
"2.477/181.50157",19.244,4.2663
"4.556/277.14248",19.153,4.2595
"2.327/204.12307",18.899,4.2402
"3.676/156.04205",18.764,4.2299
"2.377/184.05614",18.642,4.2205
"2.479/325.15815",18.222,4.1876
"0.744/378.96795",0.055011,-4.1841
"0.510/730.58898",0.055663,-4.1671
"4.751/327.20884",0.056623,-4.1425
"1.052/174.14902",17.54,4.1326
"1.285/381.90812",0.057109,-4.1301
"2.231/319.22724",17.226,4.1065
"2.441/434.23376",17.067,4.0931
"0.507/739.48677",0.059436,-4.0725
"0.728/641.30305",0.060184,-4.0545
"0.537/500.39219",0.061459,-4.0242
"1.277/307.97489",0.06218,-4.0074
"3.670/214.06564",0.062677,-3.9959
"0.729/620.36756",0.063051,-3.9873
"0.618/206.16594",15.59,3.9626
"3.685/266.11711",0.065774,-3.9263
"3.677/259.99447",15.093,3.9158
"0.519/397.78989",0.067506,-3.8888
"5.543/303.21966",0.068333,-3.8713
"2.515/261.18287",14.617,3.8696
"4.546/366.18866",0.069779,-3.8411
"1.289/573.00013",0.070352,-3.8293
"0.702/182.12958",0.070479,-3.8267
"4.722/275.17453",0.071583,-3.8042
"3.657/269.11416",0.073018,-3.7756
"0.777/379.14557",0.073173,-3.7725
"0.619/432.24946",13.665,3.7725
"4.896/474.25343",0.073308,-3.7699
"4.548/335.52028",0.073565,-3.7648
"0.710/605.80713",0.074122,-3.754
"2.358/278.14614",13.467,3.7514
"3.660/315.60949",0.074384,-3.7489
"2.349/216.12342",13.39,3.7431
"4.777/450.76485",0.075011,-3.7367
"2.169/805.26052",13.2,3.7225
"0.765/420.30652",0.076011,-3.7177
"0.619/425.14776",13.058,3.7069
"4.677/423.21090",0.07761,-3.6876
"4.785/252.08436",12.811,3.6793
"4.360/395.10112",0.078389,-3.6732
"6.008/430.19986",0.079401,-3.6547
"5.227/236.15162",12.443,3.6373
"0.602/424.98495",0.080761,-3.6302
"0.852/344.26070",12.202,3.609
"0.761/263.15156",0.082917,-3.5922
"3.666/116.06895",0.083391,-3.584
"5.860/558.24633",0.083499,-3.5821
"0.727/562.86336",0.084396,-3.5667
"3.683/268.02270",11.62,3.5386
"4.791/323.16141",11.596,3.5355
"2.330/158.11636",11.49,3.5223
"2.485/143.65749",11.425,3.5141
"0.719/387.25075",0.087564,-3.5135
"1.477/230.06208",0.087692,-3.5114
"4.834/352.08596",0.088839,-3.4927
"3.657/268.10845",0.089245,-3.4861
"3.677/132.01890",11.144,3.4782
"4.307/242.05606",0.08992,-3.4752
"5.391/529.98448",11.086,3.4707
"0.596/334.23578",0.090736,-3.4622
"5.318/379.09612",11.001,3.4596
"0.574/352.12375",10.959,3.454
"3.681/257.99636",10.944,3.452
"3.677/302.11708",0.091945,-3.4431
"4.770/324.96222",0.093284,-3.4222
"0.719/114.09004",0.093351,-3.4212
"0.578/345.15415",0.093562,-3.4179
"1.058/230.11742",10.676,3.4163
"4.437/144.14763",0.094069,-3.4101
"4.736/67.05180",0.094395,-3.4052
"2.402/182.05812",10.589,3.4045
"4.688/387.11185",0.095808,-3.3837
"4.438/127.12151",0.096378,-3.3752
"5.587/467.18217",0.096453,-3.374
"2.496/144.10199",10.236,3.3556
"2.495/299.14185",10.194,3.3496
"6.014/166.11307",0.098868,-3.3384
"0.693/413.24681",0.099532,-3.3287
"0.744/401.10750",0.099604,-3.3277
"1.149/309.12559",0.099733,-3.3258
"2.482/182.05773",9.9922,3.3208
"2.371/460.10552",0.10055,-3.314
"4.776/238.07866",0.10065,-3.3126
"3.668/256.08729",0.10081,-3.3103
"0.759/533.31626",0.10109,-3.3063
"5.342/365.08174",9.8636,3.3021
"2.352/319.22693",9.8447,3.2993
"1.502/268.01921",0.10195,-3.294
"6.168/289.20028",0.10238,-3.288
"4.314/192.09761",9.6986,3.2778
"4.646/336.17850",0.10395,-3.266
"5.656/562.83249",0.10424,-3.2621
"3.641/60.05345",9.5689,3.2583
"0.739/567.02479",0.10496,-3.2521
"4.419/338.15577",0.10556,-3.2439
"0.772/421.15385",0.10624,-3.2346
"1.289/305.97504",0.10641,-3.2323
"0.719/113.74036",0.10641,-3.2322
"2.414/305.21255",9.3813,3.2298
"2.252/158.11723",9.2265,3.2058
"0.744/342.22061",0.10844,-3.205
"1.281/531.17437",0.10911,-3.1961
"4.285/173.02090",0.10926,-3.1942
"4.381/270.17295",0.10987,-3.1861
"3.677/176.01090",9.0965,3.1853
"1.118/466.17964",0.1104,-3.1792
"4.666/234.07436",9.0527,3.1784
"1.285/373.96668",0.11076,-3.1745
"4.815/209.00941",0.11141,-3.1661
"0.619/387.19046",8.941,3.1604
"1.102/385.01875",8.94,3.1603
"4.996/262.15320",0.11216,-3.1564
"0.569/338.14365",8.8078,3.1388
"2.463/184.05563",8.784,3.1349
"4.666/254.13704",0.11386,-3.1347
"5.006/327.21269",0.11395,-3.1335
"4.947/295.15443",0.1145,-3.1266
"1.304/268.02050",0.11465,-3.1247
"0.742/393.16899",0.11482,-3.1225
"0.694/458.30751",0.11491,-3.1214
"0.628/629.32909",0.11537,-3.1156
"1.494/389.94134",0.11682,-3.0976
"1.160/210.12547",8.4992,3.0873
"4.454/270.14701",8.4629,3.0812
"0.734/599.40981",8.4272,3.0751
"0.637/585.30489",0.11884,-3.0729
"5.021/434.24300",8.4129,3.0726
"0.682/132.10030",8.3899,3.0687
"1.101/258.07708",8.3892,3.0685
"4.549/375.28443",0.11931,-3.0672
"1.273/493.12417",0.11966,-3.063
"4.774/714.31671",8.328,3.058
"1.176/198.07758",8.3134,3.0554
"0.800/132.13684",8.2445,3.0434
"2.397/343.16825",8.2084,3.0371
"2.910/191.14927",0.1229,-3.0245
"1.117/428.22175",0.12289,-3.0245
"4.810/379.06380",0.12297,-3.0236
"4.684/341.05933",0.1239,-3.0128
"2.602/353.25322",7.9948,2.9991
"0.629/608.40473",0.12541,-2.9953
"1.109/461.14628",7.9491,2.9908
"0.577/223.12149",7.9416,2.9894
"1.101/115.04833",7.9095,2.9836
"1.472/260.11038",7.8841,2.9789
"0.635/564.37561",0.12768,-2.9694
"1.155/190.10801",7.8031,2.964
"1.341/210.12496",7.7848,2.9607
"4.913/81.04237",7.7803,2.9598
"4.737/223.07572",7.7755,2.9589
"2.302/692.21991",7.7695,2.9578
"4.898/284.13749",0.12897,-2.9549
"3.665/206.10388",0.12905,-2.954
"1.454/176.12805",7.7368,2.9517
"1.285/391.93985",0.12943,-2.9498
"2.355/316.10090",7.7119,2.9471
"4.328/337.15079",0.12996,-2.9438
"4.672/144.03886",7.6827,2.9416
"1.150/485.36573",7.6461,2.9347
"4.550/502.27754",0.13301,-2.9104
"1.102/547.48481",0.13368,-2.9031
"4.780/425.05662",0.13459,-2.8934
"4.258/88.03725",7.377,2.883
"3.677/177.13402",7.2651,2.861
"4.668/252.08629",7.2637,2.8607
"1.506/244.20451",0.13803,-2.857
"2.955/102.08948",7.2243,2.8529
"0.626/652.43152",0.13843,-2.8528
"4.543/495.51946",0.13872,-2.8497
"0.644/520.34733",0.13925,-2.8443
"4.417/320.14475",0.13929,-2.8438
"1.102/549.50021",0.13934,-2.8433
"4.414/289.21108",0.13938,-2.8429
"4.670/216.06571",7.1335,2.8346
"1.277/521.02286",0.14044,-2.832
"1.101/671.29339",6.9961,2.8065
