"","Fold Change","log2(FC)"
"0.635/543.45428",1223.9,10.257
"3.681/257.99636",1221,10.254
"4.777/435.19249",0.0018214,-9.1007
"0.632/609.46870",406.32,8.6665
"0.633/809.49067",401.54,8.6494
"0.642/587.24541",347.72,8.4418
"4.441/245.19778",0.0029789,-8.391
"0.635/547.48386",304.52,8.2504
"0.634/307.23194",292.13,8.1905
"0.633/788.55933",273.41,8.0949
"0.510/754.58924",232.7,7.8623
"0.639/561.46705",209.28,7.7093
"0.635/309.24632",207.33,7.6958
"0.507/804.60916",202.54,7.6621
"0.635/607.45379",201.9,7.6575
"0.627/409.72078",0.0052444,-7.575
"0.635/807.47334",189.09,7.563
"0.760/193.03763",186.39,7.5422
"0.590/631.24914",172.51,7.4305
"0.510/400.81354",148.11,7.2105
"0.635/305.21665",119.87,6.9053
"0.516/386.79707",106.4,6.7334
"0.535/697.41343",103.08,6.6877
"0.635/368.72766",0.0097794,-6.676
"3.660/160.10731",0.010071,-6.6337
"0.518/387.80635",95.807,6.5821
"0.535/582.42329",94.571,6.5633
"0.602/816.52332",89.663,6.4864
"4.780/299.69770",76.419,6.2559
"1.105/521.47075",66.295,6.0508
"0.519/397.78989",64.347,6.0078
"0.510/794.56479",61.459,5.9416
"3.673/231.14738",0.017473,-5.8387
"4.481/349.97607",0.017772,-5.8142
"5.043/627.34693",53.965,5.7539
"0.510/800.62669",53.714,5.7472
"3.666/264.15985",0.019023,-5.7161
"0.509/419.79466",52.331,5.7096
"3.677/172.10741",0.019203,-5.7025
"3.674/290.06889",51.244,5.6793
"4.360/395.10112",0.019646,-5.6696
"1.023/352.13229",46.609,5.5425
"0.630/610.47221",45.991,5.5233
"0.590/593.29480",44.254,5.4677
"0.665/625.30268",0.022995,-5.4425
"0.510/730.58898",40.961,5.3562
"0.727/716.96377",0.024459,-5.3535
"0.619/520.37651",40.503,5.34
"0.527/607.31166",40.234,5.3303
"0.510/704.56036",38.486,5.2663
"0.657/669.33248",0.029245,-5.0957
"5.227/236.15162",0.0296,-5.0783
"0.510/768.54677",32.597,5.0267
"0.635/589.26241",32.367,5.0165
"0.627/359.26556",31.76,4.9891
"0.727/562.86336",0.031626,-4.9828
"0.507/739.48677",29.856,4.8999
"0.510/675.28654",29.181,4.8669
"0.594/826.56856",29.027,4.8593
"0.602/774.53018",28.772,4.8466
"0.597/802.57113",28.641,4.84
"4.569/581.82902",27.767,4.7953
"0.710/605.80713",0.036264,-4.7853
"0.619/305.11028",0.036523,-4.7751
"0.535/700.95858",26.484,4.727
"1.102/547.48481",26.371,4.7209
"0.534/641.43873",26.144,4.7084
"0.602/778.56574",25.761,4.6871
"0.644/559.45172",25.226,4.6568
"4.777/450.76485",25.084,4.6487
"0.526/606.30129",24.114,4.5918
"0.635/545.46905",24.048,4.5879
"0.644/759.47142",23.678,4.5655
"1.102/549.50021",23.348,4.5452
"0.527/644.25980",22.869,4.5153
"0.635/311.26303",22.849,4.5141
"0.510/756.60573",22.657,4.5019
"0.635/786.54473",22.592,4.4978
