"","Fold Change","log2(FC)"
"1.805/344.14666",0.0008917,-10.131
"1.403/369.15366",0.0013876,-9.4932
"2.146/151.02162",0.0013944,-9.4862
"2.146/228.04445",0.0024825,-8.654
"2.144/184.05503",0.0026483,-8.5607
"1.148/340.14006",0.0035901,-8.1218
"2.196/286.03976",230.88,7.851
"3.049/724.23648",195.59,7.6117
"2.111/551.07164",168.42,7.396
"1.144/378.11255",0.006069,-7.3643
"2.231/414.54509",154.98,7.2759
"2.291/414.54697",154.98,7.2759
"1.952/286.18948",0.0076007,-7.0397
"2.143/166.04536",0.008601,-6.8613
"2.575/269.00581",106.8,6.7387
"1.806/368.18950",0.010542,-6.5677
"2.144/495.16705",0.010786,-6.5347
"1.359/304.05042",0.011587,-6.4314
"2.481/444.69281",0.012034,-6.3767
"2.478/445.18657",0.012668,-6.3027
"0.806/517.25498",72.554,6.181
"2.256/448.73416",0.014443,-6.1135
"1.194/348.17062",0.018246,-5.7763
"1.321/535.08210",54.672,5.7727
"2.477/464.16297",0.019064,-5.713
"2.649/631.34877",0.019774,-5.6602
"2.703/553.26518",50.249,5.651
"2.345/419.70069",0.02136,-5.5489
"2.133/947.84270",0.021639,-5.5302
"2.670/555.34847",42.884,5.4224
"2.135/839.28788",0.023579,-5.4063
"2.459/330.02893",40.771,5.3495
"2.576/901.48147",0.026621,-5.2313
"2.947/530.26824",34.055,5.0898
"2.145/836.25456",0.029672,-5.0748
"2.294/513.22281",0.029774,-5.0698
"1.126/226.08341",0.029828,-5.0672
"1.136/306.06514",0.029966,-5.0605
"2.494/421.12526",0.030142,-5.0521
"2.313/604.79494",32.55,5.0246
"1.224/451.08888",0.030745,-5.0235
"2.147/935.26699",0.030844,-5.0189
"2.688/571.81718",31.426,4.9739
"2.147/917.28073",0.03204,-4.964
"1.164/378.18135",0.032469,-4.9448
"4.951/301.21666",30.561,4.9336
"2.277/454.26519",0.032783,-4.9309
"2.149/1016.29433",0.033326,-4.9072
"2.451/411.22157",0.033387,-4.9046
"2.040/323.11719",0.033956,-4.8802
"0.633/314.05209",0.033971,-4.8796
"4.171/249.18534",0.035126,-4.8313
"2.144/774.21470",0.035738,-4.8064
"2.405/384.20222",0.0358,-4.8039
"2.689/784.38721",27.659,4.7897
"2.122/512.14505",0.036699,-4.7681
"4.937/753.43446",27.155,4.7631
"2.334/261.10003",27.044,4.7572
"0.807/209.05668",0.037852,-4.7235
"2.732/659.34035",0.038347,-4.7048
"2.141/1088.87953",0.038609,-4.6949
"2.251/514.28679",25.882,4.6939
"2.145/854.24016",0.038733,-4.6903
"2.140/920.31161",0.038899,-4.6841
"2.237/316.04878",25.258,4.6586
"2.478/891.38031",0.040179,-4.6374
"1.044/605.37203",24.528,4.6163
"4.367/687.26641",24.371,4.6071
"5.286/781.51129",24.152,4.5941
"2.132/954.35571",0.041729,-4.5828
"2.152/1223.38451",0.041813,-4.5799
"2.344/840.41536",0.041819,-4.5797
"2.144/448.23620",0.042075,-4.5709
"2.739/1071.70641",23.631,4.5626
"2.139/755.22508",0.042979,-4.5402
"2.521/400.18004",0.043005,-4.5394
"0.703/226.08351",0.043405,-4.526
"2.136/845.79955",0.043436,-4.525
"5.086/537.30406",22.955,4.5208
"2.217/344.21873",22.744,4.5074
"2.409/541.29916",22.611,4.499
"2.266/175.02491",22.551,4.4951
"5.086/597.32569",22.075,4.4643
"1.419/210.08917",0.045349,-4.4628
"2.133/765.27301",0.045666,-4.4527
"2.341/717.36056",0.046038,-4.441
"2.527/427.29262",0.046234,-4.4349
"0.934/309.07255",21.1,4.3992
"2.128/371.19356",20.239,4.3391
"2.143/445.16678",0.04959,-4.3338
"2.652/420.23018",20.039,4.3248
"2.133/866.81756",0.049947,-4.3235
"2.139/756.22282",0.050179,-4.3168
"2.379/733.35945",0.05108,-4.2911
"2.223/616.33174",19.388,4.2771
"5.085/815.49629",19.304,4.2708
"2.128/695.21689",0.052064,-4.2636
"2.370/691.30471",0.052206,-4.2596
"2.148/1097.32315",0.052338,-4.256
"0.979/148.06338",0.052863,-4.2416
"2.253/522.22946",0.052865,-4.2415
"2.481/890.39167",0.052918,-4.2401
"4.939/777.48060",18.73,4.2273
"2.170/480.14875",0.054205,-4.2054
"2.132/873.33196",0.054697,-4.1924
"0.731/774.18551",18.243,4.1893
"2.141/400.22542",0.055016,-4.184
"2.142/773.21623",0.055072,-4.1825
"2.194/527.24668",17.998,4.1698
"2.953/608.31895",17.917,4.1632
"2.181/369.17681",0.056077,-4.1565
"2.505/654.38330",0.056249,-4.152
"3.241/654.36308",17.758,4.1504
"2.114/443.14103",0.056383,-4.1486
"2.153/1142.37312",0.056731,-4.1397
"2.145/1007.84770",0.056738,-4.1395
"0.969/400.10227",17.583,4.1361
"2.266/330.02856",17.554,4.1338
"2.152/292.16687",0.057147,-4.1292
"1.576/645.15851",17.392,4.1204
"1.677/387.13359",0.057737,-4.1143
"2.395/536.27139",17.244,4.108
"2.149/1079.33244",0.05803,-4.107
"2.002/343.03700",17.147,4.0999
"2.992/596.28259",17.095,4.0955
"2.740/1083.89403",17.056,4.0922
"2.120/503.16202",0.058745,-4.0894
"2.070/455.34270",0.058788,-4.0883
"2.702/596.30910",16.959,4.084
"2.740/897.08124",16.903,4.0792
"1.432/474.22062",0.059404,-4.0733
"2.135/674.20195",0.059804,-4.0636
"2.740/763.36150",16.622,4.0551
"2.347/443.25049",0.060184,-4.0545
"0.560/189.04284",0.061074,-4.0333
"2.141/926.81989",0.061234,-4.0295
"2.396/434.17514",0.061351,-4.0268
"2.148/998.30640",0.061354,-4.0267
"2.736/1072.30810",16.221,4.0198
"2.623/654.31471",16.214,4.0192
"2.738/1072.11192",16.18,4.0162
"2.336/642.38251",16.12,4.0108
"2.130/1190.34842",0.062508,-3.9998
"0.756/434.19414",0.062752,-3.9942
"2.127/611.16097",0.062906,-3.9906
"0.573/483.13332",0.063102,-3.9862
"2.435/399.26067",15.829,3.9845
"2.132/758.25655",0.063257,-3.9826
"4.810/787.46544",15.74,3.9764
"2.202/728.23079",0.063595,-3.9749
"2.740/896.75291",15.661,3.9691
"2.256/898.47499",0.064035,-3.965
"2.740/1076.10273",15.606,3.964
"3.222/608.31903",15.597,3.9632
"0.460/182.01284",0.064249,-3.9602
"2.282/557.29350",0.064434,-3.956
"0.719/283.09643",15.461,3.9506
"0.691/496.11223",15.412,3.946
"2.138/648.32339",0.065004,-3.9433
"2.136/692.18962",0.065107,-3.941
"2.705/647.34534",0.065851,-3.9247
"3.010/155.00197",15.159,3.9221
"2.138/517.08998",0.066306,-3.9147
"0.970/118.90471",0.066503,-3.9104
"0.577/282.02760",14.977,3.9046
"2.401/302.14315",0.066821,-3.9035
"1.632/263.09742",0.067342,-3.8924
"2.393/628.33167",14.708,3.8786
"2.187/336.15675",14.705,3.8783
"2.461/573.30234",14.7,3.8777
"0.713/419.06229",0.068738,-3.8628
