"","Fold Change","log2(FC)"
"1.786/360.12086",3330.6,11.702
"1.403/369.15366",0.0004181,-11.224
"2.296/432.57752",0.0019358,-9.0128
"2.240/434.51564",0.0026732,-8.5472
"2.285/437.08628",0.0028013,-8.4797
"2.196/286.03976",227.89,7.8322
"3.049/724.23648",193.05,7.5928
"0.599/409.14209",0.0054652,-7.5155
"5.082/779.49715",173.48,7.4386
"2.111/551.07164",166.24,7.3771
"4.952/827.49415",141.56,7.1453
"4.952/803.45040",117.68,6.8787
"5.083/755.45444",116.36,6.8624
"5.087/769.49060",102.36,6.6775
"5.086/249.18485",100.59,6.6523
"0.820/348.10216",97.731,6.6107
"4.954/789.48708",94.962,6.5693
"5.087/301.21747",64.916,6.0205
"2.701/683.34242",59.895,5.9044
"4.684/477.30339",59.489,5.8946
"4.941/572.43327",50.97,5.6716
"4.789/811.46806",50.409,5.6556
"4.779/761.45246",48.368,5.596
"0.638/761.22424",0.021724,-5.5246
"2.670/555.34847",42.328,5.4035
"5.346/807.50174",41.684,5.3814
"1.126/226.08341",0.027279,-5.1961
"2.947/530.26824",33.613,5.0709
"2.313/604.79494",32.128,5.0058
"2.135/839.28788",0.032124,-4.9602
"2.688/571.81718",31.018,4.955
"2.147/935.26699",0.032246,-4.9547
"2.478/445.18657",0.032321,-4.9514
"4.951/301.21666",30.165,4.9148
"2.149/1016.29433",0.03329,-4.9088
"5.087/829.51194",28.35,4.8253
"2.256/448.73416",0.036133,-4.7905
"0.633/314.05209",0.036206,-4.7876
"2.689/784.38721",27.3,4.7709
"4.937/753.43446",26.802,4.7443
"2.334/261.10003",26.693,4.7384
"1.792/489.15824",26.571,4.7318
"2.099/403.12248",0.037868,-4.7229
"2.311/364.65132",26.284,4.7161
"0.927/184.05437",0.0383,-4.7065
"2.481/444.69281",0.038355,-4.7044
"2.147/917.28073",0.038363,-4.7042
"4.880/737.45237",25.97,4.6988
"5.105/765.47094",24.912,4.6388
"5.086/805.46702",24.14,4.5933
"4.367/687.26641",24.055,4.5882
"0.703/226.08351",0.041852,-4.5786
"5.286/781.51129",23.839,4.5752
"1.224/451.08888",0.042417,-4.5592
"2.127/634.30522",23.523,4.556
"2.739/1071.70641",23.324,4.5438
"2.145/836.25456",0.043885,-4.5101
"5.086/537.30406",22.658,4.5019
"2.217/344.21873",22.449,4.4886
"2.409/541.29916",22.318,4.4801
"5.111/791.50012",22.133,4.4681
"2.277/454.26519",0.04523,-4.4666
"5.086/597.32569",21.788,4.4455
"4.911/763.46826",21.749,4.4428
"0.719/850.22416",0.047836,-4.3858
"0.732/565.08433",0.048956,-4.3524
"0.841/872.28267",0.049133,-4.3472
"0.584/226.97844",0.049637,-4.3324
"2.152/1223.38451",0.049955,-4.3232
"2.652/420.23018",19.779,4.3059
"2.223/616.33174",19.136,4.2582
"5.085/815.49629",19.054,4.252
"0.729/872.28171",0.052771,-4.2441
"1.019/754.25361",0.053611,-4.2213
"4.939/777.48060",18.487,4.2084
"2.102/483.12340",0.05462,-4.1944
"2.194/527.24668",17.765,4.1509
"2.953/608.31895",17.684,4.1444
"0.581/264.93418",0.056999,-4.1329
"3.241/654.36308",17.528,4.1316
"0.969/400.10227",17.355,4.1173
"0.460/182.01284",0.058219,-4.1024
"2.395/536.27139",17.021,4.0892
"2.148/998.30640",0.058952,-4.0843
"2.002/343.03700",16.925,4.0811
"2.992/596.28259",16.873,4.0767
"2.740/1083.89403",16.835,4.0734
"2.702/596.30910",16.739,4.0652
"2.740/897.08124",16.683,4.0603
"2.225/458.26124",16.448,4.0399
"2.732/659.34035",0.060913,-4.0371
