"","Fold Change","log2(FC)"
"2.760/991.46141",102.73,6.6827
"5.181/631.22913",0.01239,-6.3347
"5.181/593.27839",0.015747,-5.9887
"2.791/768.03082",54.281,5.7624
"1.085/1101.26281",52.755,5.7212
"2.791/767.91463",51.238,5.6791
"2.784/865.77722",50.073,5.646
"5.528/798.46627",0.020229,-5.6274
"2.791/986.60990",45.161,5.497
"2.775/929.00941",43.258,5.4349
"2.784/811.00360",42.75,5.4179
"5.850/561.45181",0.02405,-5.3778
"5.052/682.41844",0.024132,-5.3729
"2.786/721.23245",41.341,5.3695
"5.052/681.41461",0.024383,-5.358
"2.782/989.03680",39.023,5.2862
"2.769/812.88427",38.587,5.27
"2.781/769.58235",35.454,5.1479
"2.789/768.13971",34.755,5.1191
"5.727/611.46863",0.02994,-5.0618
"3.611/528.35473",0.030916,-5.0155
"2.754/932.00834",31.631,4.9833
"5.313/760.50132",0.031655,-4.9814
"2.787/927.29677",31.428,4.974
"2.805/599.98373",0.033829,-4.8856
"1.006/335.59339",29.238,4.8698
"2.787/721.45834",29,4.858
"2.781/721.68040",28.118,4.8134
"2.783/721.00262",27.958,4.8052
"2.866/513.59804",0.036042,-4.7942
"5.051/678.93618",0.036581,-4.7728
"2.757/931.72493",27.141,4.7624
"2.755/815.13419",26.432,4.7242
"2.791/863.65514",26.165,4.7095
"2.793/987.32102",25.637,4.6802
"2.774/813.38409",25.404,4.667
"2.787/927.15017",25.159,4.653
"2.962/803.41633",0.04009,-4.6406
"2.778/813.50705",24.63,4.6224
"5.371/607.43793",0.040825,-4.6144
"2.785/989.32156",24.438,4.611
"2.762/559.31019",24.254,4.6002
"3.201/881.44174",0.041858,-4.5783
"2.786/811.25716",23.595,4.5604
"5.453/607.29484",0.042801,-4.5462
"5.372/305.21235",0.042859,-4.5443
"3.149/618.20644",0.043547,-4.5213
"2.856/556.28603",0.043677,-4.517
"2.776/929.14935",22.674,4.503
"2.794/1151.21305",22.486,4.4909
"2.776/929.43377",22.231,4.4745
"2.789/230.05938",22.141,4.4686
"2.791/986.89111",22.092,4.4655
"1.163/998.19346",0.045328,-4.4635
"2.691/334.52274",0.045435,-4.4601
"2.861/1212.61410",0.04594,-4.4441
"2.787/926.86198",21.243,4.4089
"2.785/989.60861",21.208,4.4065
"2.784/769.69356",20.635,4.367
"2.790/1150.87282",20.605,4.3649
"2.900/630.34670",0.048588,-4.3633
"2.705/190.14351",20.488,4.3567
"2.791/987.17201",20.408,4.3511
"2.747/618.34557",0.049439,-4.3382
"1.141/1225.31785",20.113,4.3301
"2.785/1153.53740",19.812,4.3083
"3.250/685.35699",0.050548,-4.3062
"2.758/931.57885",19.633,4.2952
"2.776/723.33937",19.611,4.2936
"2.835/808.32885",19.429,4.2801
"2.782/721.12021",19.385,4.2769
"2.754/725.00713",19.344,4.2738
"2.859/606.81020",0.052075,-4.2633
"3.160/319.66361",0.052671,-4.2468
"3.164/1051.53489",0.052787,-4.2437
"2.887/731.39781",0.053317,-4.2293
"6.150/763.47720",0.053828,-4.2155
"2.784/1153.69723",18.507,4.21
"3.829/556.38654",0.054732,-4.1915
"2.736/565.78943",0.055337,-4.1756
"0.919/557.28801",18.008,4.1706
"2.960/771.42762",17.937,4.1649
"2.780/769.91371",17.911,4.1628
"2.779/723.23144",17.762,4.1507
"3.244/584.30863",0.056484,-4.146
"2.724/322.62601",0.057395,-4.1229
"2.759/1086.67118",17.403,4.1212
"2.746/400.91130",0.057752,-4.114
"3.814/278.69548",0.058288,-4.1006
"2.758/931.86566",17.103,4.0962
"2.775/723.00551",17.086,4.0947
"3.271/541.26702",0.059265,-4.0767
"2.750/651.46771",16.824,4.0725
"5.524/793.48807",0.059867,-4.0621
"2.834/558.24249",0.060287,-4.052
"2.775/723.11478",16.424,4.0377
"2.826/457.72585",0.060909,-4.0372
"3.127/946.00384",0.061037,-4.0342
"2.782/1153.87962",16.145,4.013
"2.824/914.44887",0.061999,-4.0116
"0.823/161.16448",0.062092,-4.0095
"3.172/569.78661",0.062951,-3.9896
"3.157/656.33238",0.063571,-3.9755
"2.754/724.67341",15.694,3.9721
"3.252/707.33616",0.064041,-3.9648
"1.072/200.15033",15.601,3.9636
"2.789/927.43460",15.558,3.9596
"0.869/722.21151",15.451,3.9496
"2.724/664.31523",0.064905,-3.9455
"2.904/315.67690",0.065143,-3.9402
"2.894/682.35231",0.065728,-3.9273
"2.787/863.40480",15.096,3.9161
"2.760/1086.83839",15.048,3.9115
"3.042/401.27693",0.066501,-3.9105
"2.775/723.45176",14.967,3.9037
"3.102/462.75306",0.06691,-3.9016
"2.862/404.53806",0.067337,-3.8924
"2.754/368.87794",0.067806,-3.8824
"2.758/724.89632",14.644,3.8722
"3.160/694.28841",0.068389,-3.8701
"2.705/428.17291",14.617,3.8695
"3.263/555.28268",0.068451,-3.8688
"2.777/1015.54233",0.068659,-3.8644
"2.857/1111.56621",0.06986,-3.8394
"0.910/843.50494",0.070134,-3.8337
"2.841/916.50567",0.070426,-3.8277
"2.782/989.74977",14.154,3.8231
"2.810/371.68433",0.071187,-3.8122
"2.775/1084.00621",14.041,3.8115
"2.842/703.66611",13.895,3.7965
"2.979/891.90596",0.072255,-3.7908
"3.044/500.29776",0.072286,-3.7901
