"","Fold Change","log2(FC)"
"0.828/214.35504",101.51,6.6654
"5.181/631.22913",74.973,6.2283
"2.889/644.39655",68.104,6.0897
"5.181/593.27839",58.988,5.8823
"0.830/599.05947",56.383,5.8172
"0.818/393.00792",56.279,5.8145
"2.782/988.89101",0.020254,-5.6256
"2.784/865.77722",0.021645,-5.5298
"5.528/798.46627",45.919,5.521
"2.775/929.00941",0.021989,-5.5071
"2.782/989.03680",0.022489,-5.4747
"2.995/248.22214",43.33,5.4373
"2.791/768.03082",0.023893,-5.3873
"2.791/767.91463",0.02406,-5.3772
"5.728/795.50436",41.521,5.3758
"2.750/651.46771",0.024579,-5.3465
"5.452/629.27508",39.11,5.2895
"5.850/561.45181",38.624,5.2714
"5.052/682.41844",38.492,5.2665
"5.052/681.41461",38.096,5.2516
"2.777/650.90504",0.026325,-5.2474
"2.786/721.23245",0.027211,-5.1996
"2.791/986.60990",0.027619,-5.1782
"5.052/689.40025",35.413,5.1462
"3.037/673.41446",34.393,5.104
"2.757/931.72493",0.03064,-5.0284
"3.061/575.32113",32.408,5.0183
"2.786/811.25716",0.030987,-5.0122
"2.769/812.88427",0.031083,-5.0078
"2.843/520.76817",31.826,4.9921
"5.727/611.46863",31.025,4.9554
"0.823/161.16448",0.033262,-4.91
"3.611/528.35473",30.046,4.9091
"2.755/815.13419",0.033706,-4.8908
"2.785/989.60861",0.033876,-4.8836
"5.313/760.50132",29.344,4.875
"5.727/811.47869",29.194,4.8676
"2.781/721.68040",0.034858,-4.8424
"2.784/811.00360",0.035816,-4.8033
"1.733/230.06001",0.036076,-4.7928
"2.805/599.98373",27.459,4.7792
"2.774/813.38409",0.037061,-4.754
"2.791/863.65514",0.037953,-4.7196
"2.778/813.50705",0.038007,-4.7176
"2.794/1151.21305",0.038103,-4.714
"2.787/927.29677",0.038727,-4.6905
"2.866/513.59804",25.773,4.6878
"5.051/678.93618",25.393,4.6664
"5.577/759.44717",25.222,4.6566
"2.764/746.35871",24.133,4.5929
"2.783/721.00262",0.041682,-4.5844
"1.006/335.59339",0.04183,-4.5793
"2.775/723.45176",0.042085,-4.5706
"2.791/987.17201",0.042287,-4.5636
"2.758/931.57885",0.042765,-4.5474
"2.776/723.33937",0.042951,-4.5412
"2.962/803.41633",23.17,4.5342
"2.787/927.15017",0.043516,-4.5223
"5.371/607.43793",22.753,4.508
"3.201/881.44174",22.192,4.4719
"5.453/607.29484",21.703,4.4398
"5.372/305.21235",21.674,4.4379
"2.761/571.39349",0.046147,-4.4376
"2.785/989.32156",0.046454,-4.4281
"2.776/929.43377",0.046513,-4.4262
"2.856/556.28603",21.268,4.4106
"3.209/486.33067",0.048237,-4.3737
"0.844/339.09076",0.048423,-4.3682
"2.691/334.52274",20.445,4.3537
"2.759/1086.67118",0.049193,-4.3454
"5.371/807.44813",20.32,4.3448
"2.861/1212.61410",20.22,4.3377
"2.877/688.32500",20.164,4.3337
"2.755/571.69058",0.049811,-4.3274
"2.791/986.89111",0.050019,-4.3214
"2.758/931.86566",0.05008,-4.3196
"0.935/625.42696",19.382,4.2766
"2.793/987.32102",0.051759,-4.272
"2.784/1153.69723",0.052045,-4.2641
"2.900/630.34670",19.118,4.2569
"2.776/929.14935",0.052954,-4.2391
"2.747/618.34557",18.789,4.2318
"0.855/385.13055",0.053933,-4.2127
"1.188/145.13261",0.053955,-4.2121
"1.002/532.22543",0.054222,-4.205
"3.250/685.35699",18.377,4.1998
"2.754/724.67341",0.054713,-4.192
"3.201/865.46602",18.224,4.1878
"2.779/723.23144",0.055321,-4.176
"1.721/262.08474",0.055982,-4.1589
"2.859/606.81020",17.838,4.1569
"3.160/319.66361",17.636,4.1404
"3.164/1051.53489",17.597,4.1373
"3.257/661.35822",0.056846,-4.1368
"2.775/723.00551",0.057285,-4.1257
"2.887/731.39781",17.422,4.1229
"0.802/652.07547",0.057564,-4.1187
"6.150/763.47720",17.257,4.1091
"0.764/416.95184",0.058602,-4.0929
"2.780/1047.47838",0.058805,-4.0879
"3.829/556.38654",16.972,4.0851
"2.782/721.12021",0.059161,-4.0792
"2.758/724.89632",0.059521,-4.0704
"2.736/565.78943",16.786,4.0692
"2.705/190.14351",0.060311,-4.0514
"2.787/926.86198",0.060485,-4.0473
"2.789/1057.53150",16.527,4.0468
"2.859/343.65115",16.477,4.0424
"3.244/584.30863",16.445,4.0396
"2.724/322.62601",16.184,4.0165
"2.746/400.91130",16.084,4.0076
"1.302/486.11621",0.062223,-4.0064
"2.790/1150.87282",0.062437,-4.0015
"3.814/278.69548",15.936,3.9942
"2.789/927.43460",0.063681,-3.973
"3.271/541.26702",15.674,3.9703
"2.757/666.64132",0.064009,-3.9656
"2.756/800.16883",0.0643,-3.959
"5.524/793.48807",15.516,3.9557
"0.866/452.01162",0.064478,-3.9551
"2.834/558.24249",15.408,3.9456
"4.480/1034.85157",0.065567,-3.9309
"2.826/457.72585",15.251,3.9308
"0.882/507.12871",0.065606,-3.93
"3.127/946.00384",15.219,3.9278
"2.758/1086.50670",0.065715,-3.9276
"1.306/269.56779",0.065984,-3.9217
"0.919/557.28801",0.066199,-3.917
"2.824/914.44887",14.983,3.9052
"0.760/261.92997",0.067227,-3.8948
"2.760/1086.83839",0.067354,-3.8921
"2.799/516.30338",14.837,3.8912
"3.172/569.78661",14.756,3.8832
"0.760/229.98149",0.067931,-3.8798
"0.910/720.44070",14.698,3.8776
"2.750/558.40347",0.068257,-3.8729
"3.157/656.33238",14.612,3.8691
"3.252/707.33616",14.505,3.8584
"2.889/473.22480",14.468,3.8548
"1.210/559.12803",14.404,3.8484
"2.760/402.55949",14.372,3.8452
"2.785/649.21027",0.069729,-3.8421
"2.724/664.31523",14.312,3.8391
"0.769/400.97833",0.069884,-3.8389
"2.775/1084.00621",0.069958,-3.8374
"2.904/315.67690",14.259,3.8338
"2.894/682.35231",14.132,3.8209
"0.764/223.97142",0.071123,-3.8135
"0.764/208.97178",0.071325,-3.8095
"3.042/401.27693",13.968,3.8041
"2.862/404.53806",13.795,3.786
"2.754/368.87794",13.699,3.776
"2.903/828.92717",0.073599,-3.7642
"3.160/694.28841",13.583,3.7637
"3.263/555.28268",13.57,3.7624
"2.777/1015.54233",13.529,3.758
"0.760/415.96775",0.074071,-3.7549
"0.765/399.99274",0.074117,-3.7541
"2.756/999.45825",0.07418,-3.7528
"1.160/749.09839",13.353,3.7391
"2.857/1111.56621",13.297,3.733
"0.910/843.50494",13.245,3.7273
"3.602/854.96681",0.075572,-3.726
"2.841/916.50567",13.19,3.7213
"2.782/1153.87962",0.075894,-3.7199
"4.317/419.68396",13.139,3.7158
"1.057/118.12247",0.076236,-3.7134
"2.810/371.68433",13.049,3.7058
"1.069/465.98907",0.077051,-3.698
"1.202/638.14590",0.077393,-3.6917
"2.979/891.90596",12.856,3.6844
"2.750/781.76315",0.078161,-3.6774
"2.865/513.93166",12.687,3.6652
"3.058/513.27542",12.644,3.6604
"0.760/422.96184",0.07935,-3.6556
"2.763/555.52007",0.080021,-3.6435
"2.824/518.59646",12.484,3.642
"5.567/309.24363",12.469,3.6403
"0.802/563.23162",0.080388,-3.6369
"3.110/658.35786",0.080746,-3.6305
"3.120/597.83159",0.081664,-3.6142
"0.765/378.00826",0.082346,-3.6022
"3.087/1160.79389",0.082671,-3.5965
"2.745/925.43890",12.06,3.5922
"2.816/836.34498",0.082939,-3.5918
"3.102/462.75306",12.049,3.5908
"2.755/999.20290",0.083082,-3.5893
"0.869/575.12391",11.982,3.5828
"2.862/605.80155",11.975,3.582
"2.756/767.99036",11.914,3.5746
"2.678/438.67033",11.898,3.5727
"4.749/520.36487",11.848,3.5666
"2.844/729.24932",11.804,3.5612
"2.988/662.35078",11.778,3.5581
"2.894/322.70337",11.775,3.5576
"3.093/495.22269",0.08511,-3.5545
"2.681/299.69280",11.7,3.5484
"3.848/340.67257",0.0856,-3.5462
"2.830/631.62325",11.671,3.5448
"2.752/781.55916",0.085709,-3.5444
"2.802/837.17542",0.085718,-3.5443
"2.755/369.54596",11.655,3.5428
"3.064/613.27678",11.629,3.5397
"3.035/730.43315",11.539,3.5285
"0.766/385.00629",0.08672,-3.5275
"2.817/961.54812",11.522,3.5263
"2.775/723.11478",0.08682,-3.5258
"2.885/716.47119",0.087059,-3.5219
"2.863/727.49496",11.432,3.515
"2.774/729.37331",11.418,3.5133
"4.172/766.90996",0.087612,-3.5127
"3.213/654.34247",11.37,3.5072
"4.604/520.36492",11.335,3.5027
"2.183/162.11274",11.215,3.4873
"5.574/559.43755",11.118,3.4748
"3.201/422.24539",11.117,3.4747
"5.943/599.40772",11.079,3.4697
"2.747/1103.53891",0.090308,-3.469
"2.830/559.30897",0.090652,-3.4635
"3.119/682.86559",11.019,3.4619
"1.252/691.06801",0.090872,-3.46
"2.921/1232.29006",0.091369,-3.4522
"5.728/309.24342",10.941,3.4516
"5.096/687.30321",10.909,3.4474
"2.799/219.60712",0.091759,-3.446
"0.883/162.95547",0.091802,-3.4453
"1.251/657.12299",0.092045,-3.4415
"5.453/645.24943",10.832,3.4372
"4.173/946.17472",0.092442,-3.4353
"2.742/395.90674",10.814,3.4348
"3.003/633.86140",0.092488,-3.4346
"4.173/1007.58092",0.092678,-3.4316
"3.006/882.14900",10.784,3.4308
"4.173/1019.33788",0.092764,-3.4303
"3.120/412.70795",10.764,3.4282
"2.708/541.76246",0.093086,-3.4253
"0.902/794.30376",0.093124,-3.4247
"2.746/1103.02964",0.093269,-3.4225
"2.819/504.25678",10.71,3.4209
"5.284/589.24506",10.69,3.4183
"5.851/745.48615",10.662,3.4143
"1.007/510.24522",0.094278,-3.4069
"0.799/646.04484",0.094922,-3.3971
"2.899/828.69199",0.09493,-3.397
"2.901/631.35175",10.528,3.3961
"0.801/504.04112",0.095298,-3.3914
"1.873/278.06464",0.095384,-3.3901
"2.719/479.76471",10.478,3.3894
"2.764/304.63470",10.472,3.3884
"4.478/1029.52638",0.095844,-3.3832
"0.845/335.08444",0.095853,-3.383
"2.675/1223.37041",0.096484,-3.3736
"2.975/770.27962",10.355,3.3722
"0.874/635.07692",0.097051,-3.3651
"5.530/782.49176",10.292,3.3634
"2.884/576.29028",10.291,3.3633
"2.865/969.32135",10.258,3.3587
"4.476/1029.19081",0.097894,-3.3526
"2.829/536.19171",10.214,3.3525
"0.762/233.94179",0.098182,-3.3484
"0.878/765.27052",0.098219,-3.3479
"4.729/1217.39240",10.171,3.3463
"4.173/1019.67064",0.098367,-3.3457
"1.254/679.10405",0.098613,-3.3421
"2.885/984.63858",0.098975,-3.3368
"2.698/530.73647",10.086,3.3343
"0.894/546.06399",0.099357,-3.3312
"3.116/754.13240",10.052,3.3294
"3.007/881.47881",10.031,3.3264
"2.772/416.57179",9.9882,3.3202
"0.803/542.97929",0.10023,-3.3187
"3.209/524.28628",0.10033,-3.3171
"1.197/402.02094",9.9278,3.3115
"5.853/740.53241",9.9134,3.3094
"2.754/1097.52534",9.8791,3.3044
"3.995/1021.87097",0.10161,-3.2989
"0.764/414.99007",0.10164,-3.2985
"1.871/335.07869",9.8298,3.2972
"2.787/863.40480",0.10175,-3.2969
"2.894/767.86059",0.10224,-3.29
"1.039/718.20625",0.10228,-3.2894
"2.854/416.72550",9.7744,3.289
"0.934/742.50266",9.7553,3.2862
"2.744/400.57663",9.7063,3.2789
"3.455/1094.18389",9.6386,3.2688
"2.810/541.80034",0.10425,-3.2619
"4.173/1048.18018",0.10446,-3.259
"5.312/781.43129",9.5621,3.2573
"2.902/903.16842",0.10461,-3.2568
"2.901/903.25269",0.10476,-3.2549
"2.810/1139.24053",0.10477,-3.2547
"5.524/788.53202",9.4912,3.2466
"2.898/723.67108",0.10544,-3.2455
"3.767/770.90605",0.10546,-3.2452
"3.044/711.36831",9.4766,3.2444
"2.900/636.47717",0.10555,-3.244
"2.885/1203.22516",0.10563,-3.2429
"2.747/519.26065",9.4649,3.2426
"1.093/782.04333",0.10578,-3.2408
"2.870/882.36533",9.4429,3.2392
"2.903/775.49805",0.10597,-3.2383
"1.871/243.04371",9.4359,3.2382
"5.234/755.41629",9.4295,3.2372
"3.163/645.81625",9.4061,3.2336
"2.732/440.73133",9.4021,3.233
"5.155/581.40102",9.3933,3.2316
"3.191/641.28004",0.10652,-3.2308
"2.927/1125.04979",0.10658,-3.23
"1.079/582.19995",0.10672,-3.2281
"5.527/753.49391",9.3672,3.2276
"0.824/553.20028",0.10676,-3.2275
"1.069/481.98904",0.10699,-3.2245
"1.033/763.21576",9.3203,3.2204
"2.855/797.15530",0.10733,-3.2199
"2.896/672.69374",0.10738,-3.2192
"0.865/827.24386",0.10796,-3.2115
"4.174/1047.84839",0.10809,-3.2097
"2.678/438.42187",9.2285,3.2061
"2.975/366.66605",9.1815,3.1987
"2.978/754.30636",9.179,3.1983
"2.901/896.66949",0.10906,-3.1969
"1.202/522.17636",9.1664,3.1964
"2.708/237.65415",9.1336,3.1912
"5.413/779.47138",9.0931,3.1848
"3.079/496.25415",9.0872,3.1838
"1.606/650.21416",9.0775,3.1823
"5.574/738.51659",9.0646,3.1802
