"",F.stat,p.value,-log10(p),FDR
2.358/278.14614,5765.9,2.5141e-15,14.6,4.2689e-12
2.306/292.16097,3833,1.5773e-14,13.802,1.3391e-11
2.494/287.20054,986.42,7.025e-12,11.153,2.8696e-09
2.414/305.21255,968.92,7.6127e-12,11.118,2.8696e-09
2.463/184.05563,946.65,8.45e-12,11.073,2.8696e-09
2.485/143.65749,864.2,1.2718e-11,10.896,3.5991e-09
2.495/299.14185,491.68,1.5925e-10,9.7979,3.8629e-08
1.151/160.13255,175.95,1.5543e-08,7.8085,3.0387e-06
4.916/236.15184,174.55,1.6106e-08,7.793,3.0387e-06
5.310/215.64912,141.68,4.0537e-08,7.3921,6.8832e-06
2.496/144.10199,112,1.1421e-07,6.9423,1.763e-05
6.008/430.19986,97.567,2.0926e-07,6.6793,2.8249e-05
6.014/166.11307,96.835,2.1628e-07,6.665,2.8249e-05
6.010/136.58832,93.781,2.4885e-07,6.6041,3.0182e-05
4.896/474.25343,62.989,1.4044e-06,5.8525,0.00015898
0.800/132.13684,59.5,1.7955e-06,5.7458,0.00019055
4.551/742.28040,58.635,1.9123e-06,5.7184,0.00019101
0.727/245.41201,55.461,2.429e-06,5.6146,0.00022914
5.290/246.21981,53.182,2.908e-06,5.5364,0.00025988
4.438/127.12151,49.989,3.7899e-06,5.4214,0.0003001
5.293/173.13477,49.697,3.8859e-06,5.4105,0.0003001
6.168/289.20028,49.69,3.8882e-06,5.4102,0.0003001
5.379/201.63313,44.715,6.0932e-06,5.2152,0.00042867
5.115/311.14754,43.69,6.7232e-06,5.1724,0.00042867
2.402/182.05812,43.661,6.7421e-06,5.1712,0.00042867
4.666/254.13704,43.591,6.7877e-06,5.1683,0.00042867
1.998/182.05780,43.548,6.8162e-06,5.1665,0.00042867
5.861/230.63688,41.057,8.7461e-06,5.0582,0.00050979
3.658/112.04841,40.93,8.8613e-06,5.0525,0.00050979
5.296/143.60895,40.772,9.0068e-06,5.0454,0.00050979
4.660/304.20267,38.625,1.1313e-05,4.9464,0.00060059
2.015/203.13994,38.621,1.1319e-05,4.9462,0.00060059
1.101/258.07708,37.733,1.2481e-05,4.9037,0.00064221
4.324/216.17246,36.989,1.357e-05,4.8674,0.00066248
4.437/144.14763,36.826,1.3824e-05,4.8594,0.00066248
2.515/261.18287,36.687,1.4045e-05,4.8525,0.00066248
0.660/276.21043,36.295,1.4692e-05,4.8329,0.00067424
4.626/260.17566,35.33,1.6446e-05,4.7839,0.00073486
1.102/220.12039,33.831,1.971e-05,4.7053,0.00083984
5.543/303.21966,33.8,1.9784e-05,4.7037,0.00083984
4.249/133.06023,32.892,2.2161e-05,4.6544,0.00089518
4.552/495.18421,32.798,2.2426e-05,4.6493,0.00089518
2.482/182.05773,32.713,2.2669e-05,4.6446,0.00089518
0.710/216.23345,31.846,2.5346e-05,4.5961,0.00097811
4.250/70.02648,31.589,2.6214e-05,4.5815,0.00098914
1.102/429.31706,31.397,2.6884e-05,4.5705,0.00099236
4.556/277.14248,31.028,2.8232e-05,4.5493,0.0010199
0.694/340.13427,30.867,2.8849e-05,4.5399,0.0010205
4.959/320.94973,30.636,2.9761e-05,4.5264,0.0010313
5.021/434.24300,29.806,3.3335e-05,4.4771,0.0011321
