"",f.value,p.value,-log10(p),FDR,Fisher's LSD
2.358/278.14614,5765.9,2.5141e-15,14.6,4.2689e-12,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.1 - E30; AC9.1 - QC; QC - AC9.2; QC - AC9.3; QC - E30
2.306/292.16097,3833,1.5773e-14,13.802,1.3391e-11,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.1 - E30; AC9.1 - QC; QC - AC9.2; QC - AC9.3; QC - E30
2.494/287.20054,986.42,7.025e-12,11.153,2.8696e-09,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.1 - E30; AC9.1 - QC; QC - AC9.2; QC - AC9.3; QC - E30
2.414/305.21255,968.92,7.6127e-12,11.118,2.8696e-09,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.1 - E30; QC - AC9.2; QC - AC9.3; QC - E30
2.463/184.05563,946.65,8.45e-12,11.073,2.8696e-09,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.1 - E30; QC - AC9.2; QC - AC9.3; QC - E30
2.485/143.65749,864.2,1.2718e-11,10.896,3.5991e-09,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.1 - E30; AC9.1 - QC; QC - AC9.2; QC - AC9.3; QC - E30
2.495/299.14185,491.68,1.5925e-10,9.7979,3.8629e-08,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.1 - E30; E30 - AC9.2; QC - AC9.2; E30 - AC9.3; QC - AC9.3; QC - E30
1.151/160.13255,175.95,1.5543e-08,7.8085,3.0387e-06,AC9.1 - AC9.3; AC9.1 - E30; AC9.1 - QC; AC9.2 - AC9.3; AC9.2 - E30; AC9.2 - QC; AC9.3 - E30; QC - E30
4.916/236.15184,174.55,1.6106e-08,7.793,3.0387e-06,AC9.2 - AC9.1; AC9.1 - AC9.3; E30 - AC9.1; AC9.2 - AC9.3; E30 - AC9.2; AC9.2 - QC; E30 - AC9.3; QC - AC9.3; E30 - QC
5.310/215.64912,141.68,4.0537e-08,7.3921,6.8832e-06,AC9.1 - AC9.2; AC9.3 - AC9.1; AC9.1 - E30; AC9.1 - QC; AC9.3 - AC9.2; AC9.2 - E30; QC - AC9.2; AC9.3 - E30; AC9.3 - QC; QC - E30
2.496/144.10199,112,1.1421e-07,6.9423,1.763e-05,AC9.1 - AC9.2; AC9.1 - AC9.3; AC9.1 - E30; E30 - AC9.2; QC - AC9.2; QC - AC9.3; QC - E30
