"","RSD","AC9.1_II","AC9.1_III","AC9.1_I","AC9.2_I","AC9.2_III","AC9.2_II","AC9.3_I","AC9.3_II","AC9.3_III","E30_I","E30_II","E30_III","QC.1","QC.2"
"0.631/57.97151",0.25,1530,1410,1381,1322,1385,1269,1684,1240,1586,1465,1395,1432,1747,1152
"1.733/59.06014",0.25,9738,10713,10711,8973,10586,10470,10701,9299,6049,7385,9783,6791,11610,8988
"0.642/60.51143",0.25,1325,1254,1392,1463,1500,1616,1352,1395,1405,1216,1450,1206,1593,1487
"0.863/63.02576",0.25,38759,40096,35187,38279,37967,38509,42757,39068,42285,36260,32819,37146,45102,40093
"0.864/65.02146",0.25,2322,1775,2155,2288,2314,2343,2215,2018,2099,2367,1890,1703,2328,1785
"0.623/66.01890",0.25,46386,45584,45916,46995,48835,43821,46492,48133,49648,45299,48412,45924,52082,45490
"0.642/67.52203",0.25,2187,2295,2453,2224,2439,2404,2469,2325,2188,2251,2379,2635,2682,2332
"0.623/68.98231",0.25,120337,112507,98149,113157,105998,94426,130638,111791,116981,121921,116047,103402,131255,96514
"0.624/70.97956",0.25,12168,10815,10222,11835,11797,10361,13467,12112,11608,11851,11579,11177,13846,10054
"0.642/73.53179",0.25,4412,4287,4692,4395,5113,5183,4526,4483,4682,4491,4544,5101,5349,4784
"0.641/74.51440",0.25,2402,2218,2143,2211,2265,2281,2140,1826,2349,1847,2143,2277,2229,2094
"0.635/82.99714",0.25,1140,1281,1168,1334,1023,1185,1103,1116,1116,1103,1190,1089,1100,1006
"0.807/84.04434",0.25,32005,30457,35890,36174,31998,31492,37123,29665,35367,41644,37598,46107,38581,32252
"1.368/86.09691",0.25,177075,179285,173963,177984,169041,173774,187086,160871,157796,157775,160123,155728,183075,153926
"0.624/86.99245",0.25,18418,17237,15749,16209,13890,13681,20311,18704,15641,17471,15750,15109,21145,13682
"0.644/91.01294",0.25,1547,1193,1534,1432,1636,1505,1470,1351,1616,1554,1510,1347,1469,1475
"1.156/97.57370",0.25,2321,3132,1639,2675,3568,2845,3449,1164,2427,1600,1283,1561,3991,2084
"2.530/103.05426",0.25,17741,19968,16516,17073,17585,17712,17010,14959,13709,14630,15268,14980,18764,17100
"1.045/104.05202",0.25,4335,4273,3679,3495,3446,3886,3547,3704,3590,3756,4519,4391,3553,3450
"0.877/104.10666",0.25,12769,36484,15926,25614,27707,29706,31512,21930,22788,11614,11820,11642,25224,19616
"0.651/106.47673",0.25,3509,3658,3616,3992,4038,3820,4362,3401,3389,3743,3543,3178,4251,3269
"1.155/106.57901",0.25,13461,14919,8151,13765,17935,17444,12075,6887,9472,7446,8204,8645,12771,12288
"0.650/107.47593",0.25,1264,1128,1159,1517,1263,1221,1484,1509,1095,1354,1314,1126,1354,1328
"0.623/110.00881",0.25,206006,200360,200402,202777,212455,194088,212530,197659,223077,209617,207136,198198,223645,197329
"0.621/112.00624",0.25,26354,24820,25712,24958,26379,25336,25981,25849,27712,24369,25254,25012,27763,26002
"1.177/112.04977",0.25,1889,1532,1762,1358,1597,1379,2314,2573,2398,3029,2071,2363,2727,1873
"1.836/112.05033",0.25,21266,22443,21881,17905,17937,17773,18063,13772,13658,13806,13909,14273,20724,18374
"0.648/113.98573",0.25,7395,7603,7279,7286,8267,8115,7984,7646,7940,7151,7795,7528,8482,7278
"1.149/115.58398",0.25,1252,1046,704,949,1245,1703,802,555,634,541,1121,757,812,1176
"0.853/116.07045",0.25,172118,124107,187091,66016,64593,82226,109149,81535,65083,94628,122095,79959,125909,123456
"0.920/117.72530",0.25,18427,20210,21351,20333,18004,17803,19661,17937,18686,17372,19439,21180,21237,19151
"2.781/118.06499",0.25,20131,19164,22456,21397,21993,17253,19686,13810,14476,21270,15439,16194,23837,19546
"0.920/118.08660",0.25,4037880,4176933,4555246,4075766,4153625,4275698,4071214,3797823,3914113,4130620,4171468,4067043,4440090,4077391
"1.057/118.12247",0.25,1340,1460,1239,1185,1086,1316,1551,1123,1079,2995,2849,2329,1228,1284
"2.529/119.71300",0.25,3446,3156,3455,3190,3990,3375,3257,2459,2717,2886,3163,3087,3441,3240
"2.526/120.08119",0.25,727653,885820,747544,786316,805168,755098,806150,610574,646087,706543,722821,687041,842901,738276
"0.649/120.48013",0.25,8384,8586,8200,8209,8367,7839,8321,7422,7890,7412,8104,7639,8140,7535
"0.647/121.47883",0.25,2706,2921,2551,2677,2894,2633,2868,2572,2758,2581,2921,2893,2826,2649
