"","Fold Change","log2(FC)"
"0.635/547.48386",0.0030922,-8.3371
"0.633/788.55933",0.0034441,-8.1817
"1.287/519.02265",223.69,7.8053
"0.635/309.24632",0.0045417,-7.7826
"0.507/804.60916",0.0046492,-7.7488
"0.635/607.45379",0.0046639,-7.7442
"0.635/807.47334",0.0049798,-7.6497
"0.760/193.03763",0.005052,-7.6289
"0.627/421.77345",0.0061712,-7.3402
"0.635/305.21665",0.0078557,-6.992
"0.569/704.54347",0.0081862,-6.9326
"0.602/816.52332",0.010502,-6.5732
"4.918/386.73292",0.010508,-6.5724
"3.673/144.10086",89.697,6.487
"1.105/521.47075",0.014204,-6.1376
"0.519/397.78989",0.014634,-6.0946
"1.994/144.10112",66.746,6.0606
"0.510/794.56479",0.015322,-6.0283
"2.357/132.09969",52.692,5.7195
"0.590/593.29480",0.021278,-5.5545
"2.077/278.14612",46.271,5.532
"5.293/485.15474",45.694,5.5139
"3.671/267.11228",0.022425,-5.4787
"5.302/383.22537",43.571,5.4453
"0.510/730.58898",0.022989,-5.4429
"0.619/520.37651",0.023249,-5.4267
"1.992/263.19987",41.581,5.3779
"0.510/704.56036",0.024467,-5.353
"2.368/252.12830",40.516,5.3404
"2.310/424.12921",40.119,5.3262
"1.998/182.05780",39.784,5.3141
"5.327/537.11286",38.623,5.2714
"0.510/768.54677",0.028888,-5.1134
"0.635/589.26241",0.029092,-5.1032
"0.627/359.26556",0.029649,-5.0759
"1.292/143.02599",31.714,4.9871
"0.507/739.48677",0.03154,-4.9867
"4.556/277.14248",30.856,4.9475
"0.594/826.56856",0.032441,-4.946
"0.602/774.53018",0.032728,-4.9334
"0.597/802.57113",0.032878,-4.9267
"1.321/389.94112",30.088,4.9111
"4.569/581.82902",0.033912,-4.882
"1.285/391.93985",28.88,4.852
"0.535/700.95858",0.035556,-4.8138
"1.102/547.48481",0.035708,-4.8076
"0.534/641.43873",0.036018,-4.7951
"0.602/778.56574",0.036553,-4.7739
"0.644/559.45172",0.037328,-4.7436
"4.777/450.76485",0.03754,-4.7354
"0.635/545.46905",0.039157,-4.6746
"2.510/260.37129",25.419,4.6679
"0.644/759.47142",0.039768,-4.6522
"2.060/158.11632",25.049,4.6467
"2.306/292.16097",25.018,4.6449
"1.102/549.50021",0.04033,-4.632
"0.635/311.26303",0.041212,-4.6008
"0.510/756.60573",0.04156,-4.5887
"0.635/786.54473",0.04168,-4.5845
"2.494/287.20054",23.907,4.5793
"0.759/279.19518",23.552,4.5578
"0.638/761.48837",0.042968,-4.5406
"0.535/581.41767",0.043109,-4.5359
"0.635/267.21375",0.043828,-4.512
"1.098/611.48388",0.044584,-4.4873
"0.643/625.20223",0.044627,-4.4859
"0.622/558.33496",0.044798,-4.4804
"0.644/757.45188",0.045567,-4.4559
