"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"1.733/59.06014",-0.001223,-0.013517,0.0070676,-0.026976,0.012264,0.0075894,-0.016842,0.031063,-0.0086091,0.022281,-0.0098132,0.32341
"0.642/60.51143",0.0099371,-0.0011365,-0.0092605,0.016593,0.023448,-0.0090658,-0.019912,0.030854,-0.0049532,-0.011045,0.0035924,0.29718
"0.863/63.02576",0.016315,0.0044847,0.0017405,0.016585,0.003743,0.0069595,0.0080835,-0.017998,-0.005683,-0.0080861,0.017152,-0.35329
"0.864/65.02146",0.0061629,1.8076e-05,-0.0050113,0.010675,0.018256,-0.034061,-0.015275,-0.021579,0.011575,-0.00094394,0.029592,0.27371
"0.623/66.01890",0.0092405,0.010524,-0.0039133,0.021477,0.011962,0.0032096,-0.010522,0.001405,-0.011572,0.0043132,-0.011661,-0.055276
"0.642/67.52203",0.0050111,0.009149,-0.010992,0.012248,0.018065,0.024918,0.0065782,0.0096282,0.012138,0.0010416,0.0075956,0.32065
"0.623/68.98231",0.0095212,0.014233,-0.00098303,0.0050177,-0.0087558,-0.011834,0.0043366,-0.022641,-0.023157,0.0013353,-0.0091093,0.37624
"0.624/70.97956",0.011105,0.011727,-0.0074175,0.0039356,0.0059687,-0.005258,0.00056229,-0.022804,-0.023653,0.0057382,-0.0015748,0.0080489
"0.642/73.53179",0.0061652,0.0056273,-0.013453,0.023939,0.02077,0.013252,0.00043517,0.012035,0.010767,0.0041755,0.027964,-0.56848
"0.641/74.51440",0.0044825,0.00036307,-0.0024424,0.03077,0.011192,0.006539,0.022026,0.0083054,-0.029214,-0.013427,0.0095323,0.057856
"0.635/82.99714",0.0045919,0.0023937,-0.00075163,0.015533,-0.0051197,0.0067353,-0.015677,0.0041248,-0.0025889,-0.047027,-0.021022,-0.13333
"0.807/84.04434",-0.0011554,0.017825,-0.017722,0.018059,0.0059687,0.0066896,0.024168,-0.015038,0.020859,-0.022309,-0.005388,0.00027722
"1.368/86.09691",0.0084103,-0.00079174,0.0023898,0.0068318,0.0085573,0.0039185,0.0059957,-0.0081986,-0.0062525,-0.017255,-0.00083823,-0.00086358
"0.644/91.01294",0.0044687,0.0084088,-0.0068517,0.022641,0.023835,-0.025318,-0.0015975,0.0030211,0.0019723,0.011066,0.01704,0.00034537
