"","coef.mean","AC9.1","AC9.2","AC9.3","E30"
"2.515/261.18287",63.613,94.087,62.076,51.226,47.062
"2.495/299.14185",62.517,85.8,54.524,59.31,50.433
"2.402/182.05812",62.219,97.492,66.018,42.763,42.604
"2.482/182.05773",62.198,96.66,65.218,43.824,43.091
"2.494/287.20054",60.733,100,69.128,35.25,38.555
"2.414/305.21255",60.382,99.422,68.73,35.046,38.332
"1.998/182.05780",59.986,94.216,63.857,40.935,40.936
"2.358/278.14614",56.76,93.467,64.602,32.944,36.029
"2.463/184.05563",55.255,90.99,62.887,32.07,35.073
"2.485/143.65749",55.223,90.942,62.85,32.051,35.051
"2.306/292.16097",53.739,88.501,61.157,31.191,34.108
"2.496/144.10199",51.127,80.787,54.642,34.451,34.628
"6.018/429.17918",47.025,51.933,42.413,50.24,43.513
"2.349/216.12342",44.965,96.774,58.033,8.1735,16.88
"4.777/450.76485",41.897,63.593,39.062,34.38,30.555
"2.352/319.22693",40.702,40.842,39.125,43.695,39.146
"1.289/305.97504",39.732,71.101,49.983,16.058,21.787
"3.666/264.15985",36.936,39.345,32.143,41.212,35.043
"3.677/172.10741",35.627,52.416,40.625,23.982,25.483
"3.673/144.10086",35.031,55.821,35.544,24.927,23.831
"4.556/277.14248",34.718,58.625,39.127,19.69,21.428
"1.277/521.02286",33.739,44.732,30.834,31.69,27.7
"4.441/245.19778",32.873,34.202,31.384,34.816,31.09
"1.289/573.00013",32.836,28.029,24.647,43.638,35.029
"2.060/158.11632",31.616,46.228,34.467,22.754,23.017
"1.277/574.99336",30.174,25.732,22.652,40.112,32.199
"1.273/493.12417",30.127,50.937,35.492,15.777,18.302
"1.292/143.02599",29.411,55.15,40.285,7.8068,14.403
"4.481/349.97607",29.26,51.655,37.458,11.669,16.258
"2.302/692.21991",29.116,60.53,38.558,5.6302,11.745
"4.548/335.52028",28.986,19.229,12.772,48.944,34.997
"1.285/381.90812",28.154,23.973,21.133,37.45,30.061
"4.918/386.73292",28.1,35.899,24.506,28.101,23.896
"1.304/268.02050",27.226,44.953,33.569,13.6,16.783
"1.795/190.10775",27.082,29.458,22.07,31.134,25.666
"5.373/317.23474",26.951,39.574,24.408,23.433,20.39
"5.543/303.21966",26.84,40.072,23.579,23.584,20.125
"4.560/733.29565",26.799,28.658,24.821,28.599,25.116
"1.277/307.97489",26.756,41.886,30.631,16.555,17.952
"4.777/435.19249",26.411,37.086,25.805,22.31,20.442
"1.285/373.96668",26.187,32.678,26.694,23.408,21.97
"5.285/475.12571",25.999,31.797,19.454,29.433,23.311
"0.534/641.43873",25.791,28.342,24.505,26.602,23.714
"6.168/289.20028",25.634,41.504,24.23,19.366,17.438
"1.321/389.94112",25.386,43.952,30.695,12.087,14.811
"0.635/547.48386",25.303,19.16,18.021,35.747,28.282
"1.102/547.48481",25.221,14.38,20.465,36.098,29.943
"5.586/331.22645",25.118,35.482,22.303,22.962,19.725
"0.710/216.23345",24.777,42.328,31.662,10.689,14.427
"5.587/166.11380",24.748,33.804,21.836,23.36,19.99
"5.861/230.63688",24.549,36.336,25.639,18.363,17.858
"5.587/467.18217",24.209,34.496,21.685,21.813,18.841
"5.535/553.15946",24.144,35.607,21.86,20.915,18.196
"4.569/581.82902",24.124,16.874,16.207,35.641,27.774
"3.677/144.04646",24.083,13.399,10.172,42.418,30.341
"4.780/299.69770",24.079,26.894,23.294,24.259,21.869
"4.676/429.74933",23.969,35.482,23.326,19.343,17.725
"3.671/265.11646",23.863,12.475,9.9712,42.554,30.453
"1.494/389.94134",23.69,33.349,24.981,18.445,17.983
"5.402/442.97357",23.686,33.286,22.206,20.772,18.479
"4.441/99.08926",23.641,30.186,28.395,17.199,18.784
"3.660/315.60949",23.542,17.236,19.486,31.324,26.123
"0.635/543.45428",23.442,32.73,24.498,18.582,17.957
"5.379/201.63313",23.442,40.261,23.429,15.414,14.664
"0.760/72.04171",23.403,35.212,25.851,16.029,16.519
"0.594/826.56856",23.393,22.732,21.59,26.259,22.99
"0.635/545.46905",23.38,20.538,20.4,28.396,24.185
"1.295/230.06198",23.225,37.111,26.522,14.02,15.245
"6.008/430.19986",23.118,27.541,16.705,27.059,21.166
"3.660/160.10731",22.979,28.74,26.215,18.191,18.772
"5.573/503.16028",22.941,32.412,20.015,21.264,18.072
"2.330/158.11636",22.766,34.805,26.125,14.487,15.649
"0.634/307.23194",22.696,23.192,21.389,24.498,21.705
"5.577/581.16358",22.62,33.019,21.13,19.238,17.092
"1.098/611.48388",22.586,19.334,19.818,27.615,23.579
"3.677/221.99404",22.559,24.608,29.704,16.508,19.416
"1.477/230.06208",22.547,30.981,24.17,17.638,17.399
"0.632/609.46870",22.488,22.224,21.794,24.182,21.752
"0.507/804.60916",22.133,23.971,21.489,22.639,20.434
"6.010/136.58832",22.107,28.431,17.239,23.699,19.058
"0.633/809.49067",22.089,19.816,20.168,25.865,22.507
"5.310/215.64912",22.077,34.919,20.59,17.355,15.445
"6.014/166.11307",22.046,28.385,16.991,23.783,19.025
"0.635/607.45379",21.928,19.21,19.15,26.648,22.705
"0.619/520.37651",21.898,25.317,23.747,19.473,19.053
"0.719/114.09004",21.859,26.001,16.912,24.681,19.841
"0.630/610.47221",21.842,21.038,20.41,24.41,21.509
"4.358/183.16083",21.805,14.423,27.774,21.774,23.248
"0.569/704.54347",21.763,23.707,14.912,27.346,21.09
"0.602/778.56574",21.705,20.408,19.127,25.485,21.801
"0.635/807.47334",21.683,17.976,18.465,27.29,23.002
"0.594/864.52662",21.666,21.633,19.831,24.145,21.053
"0.642/587.24541",21.63,20.291,21.1,23.73,21.4
"4.360/439.11200",21.457,33.65,21.059,16.155,14.966
"0.627/359.26556",21.445,20.033,19.946,24.379,21.42
"0.635/589.26241",21.419,19.248,20.275,24.467,21.686
"0.590/593.29480",21.412,18.425,18.712,26.19,22.322
"0.719/113.74036",21.335,26.869,18.679,21.486,18.308
"5.860/558.24633",21.288,28.626,21.252,18.29,16.982
"0.527/607.31166",21.286,13.794,16.221,30.446,24.683
"2.952/208.03397",21.271,24.265,19.727,21.862,19.228
