"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"2.829/58.06264",0.0082178,-0.0085057,0.006456,0.0016425,-0.0081617,0.0075332,-0.0012057,-0.030362
"2.580/58.06266",0.0079448,0.0061243,-0.0037383,-0.0045532,-0.0023947,-0.023882,-0.0025838,0.011854
"2.474/58.06287",0.011658,-0.007545,0.038347,-0.0035667,-0.049868,-0.012809,-0.095993,-0.057536
"1.388/58.06314",-0.014983,-0.0028305,0.002765,-0.024821,0.010985,-0.011379,0.0045232,-0.003155
"3.641/60.05345",-0.046342,-0.0010946,-0.0076185,0.012753,-0.011471,-0.014739,0.01247,-0.0057188
"4.374/60.07806",-0.012512,-0.010039,-0.00083292,0.0018451,-0.0066967,0.016567,-0.0014861,0.00054278
"2.391/60.07810",0.012129,0.0082163,-0.0066144,-0.0016288,-0.032179,-0.00084253,0.037617,0.038806
"1.385/60.07852",0.0083224,0.012916,-0.010691,0.016126,0.044138,-0.027838,-0.019279,0.021973
"2.235/63.02369",0.0037642,-0.00075705,-0.021887,-0.012229,0.0092616,0.0043109,-0.0041876,0.0029821
"2.136/63.02379",-0.0016146,0.0042353,0.0003957,-0.012876,-0.022523,-0.0021944,-0.0086632,-0.0017036
"2.118/65.01964",0.0023541,0.020947,-0.00083098,-0.016672,-0.041402,0.0033498,0.019168,0.01419
"5.535/66.01626",0.0046397,-0.012235,0.0044932,-0.0075859,-0.00039238,-0.011235,0.0043493,0.0081402
"4.736/67.05180",-0.0082444,0.010531,-0.012272,-0.006812,0.056364,-0.015846,-0.01191,0.026859
"4.834/68.04637",0.0079414,-0.013704,0.020567,0.0032695,0.011828,-0.0079822,0.020475,0.0045885
"5.514/68.97974",0.0055764,-0.005098,0.0012892,-0.0018999,-0.012507,-0.025861,0.0062976,0.032607
"4.834/69.85110",0.00083982,-0.01297,0.02506,-0.0090467,0.013589,-0.018235,0.018572,0.0057434
"4.250/70.02648",-0.012928,0.00019929,-0.0054203,0.031708,-0.02336,0.01322,-0.026266,-0.0083091
"4.833/70.06374",0.0058399,-0.016851,0.026741,-0.0072943,-0.0017743,-0.013576,0.014357,0.011182
"0.760/72.04171",-0.015591,0.040226,-0.094869,-0.045611,-0.064028,-0.031169,0.11034,-0.03791
"2.257/73.02557",0.0022962,-0.01077,0.011178,-0.013224,0.031016,-0.00055005,-0.020197,0.0078568
"2.141/73.02665",0.0064322,-0.0032065,-0.015201,-0.0038376,0.014981,0.0025326,-0.013317,0.021742
"4.259/74.02140",-0.014985,-0.0055403,-0.01557,0.031805,-0.035338,0.0053127,-0.0048299,-0.018735
"4.723/75.07301",0.011447,0.00027336,0.018087,0.0028275,-0.0087055,0.010187,-0.020419,0.025166
"4.913/81.04237",-0.029879,-0.022252,-0.0074805,-0.0055332,0.0062945,-0.0079683,0.012579,-0.0024432
"5.675/82.01152",0.00029804,-0.0024735,-0.0024397,0.0012265,0.001203,-0.02068,0.023677,0.00051787
"4.383/82.06227",-0.0036911,0.016246,0.014844,0.027619,-0.0071169,-0.0038973,-0.036986,0.017687
"4.737/84.07846",-0.00055549,0.0052966,-0.020343,0.0024736,-0.024775,-0.0078448,0.0094248,0.012594
"4.371/84.07867",-0.0010434,-0.012327,0.0089788,-0.010214,0.004147,0.00039088,0.030119,-0.010534
"0.776/85.02550",0.0012563,0.0067348,0.012936,-0.00076677,-0.019213,-0.025647,-0.012924,-0.00298
"0.644/85.02602",-0.0029525,-0.031086,-0.016502,-0.030618,0.02984,-0.016489,0.02386,0.012672
"1.249/85.02618",0.0074798,0.00041717,0.003822,0.021,-0.016029,-0.0098538,0.0042703,0.011376
"1.494/85.07391",-0.00085355,-0.036381,0.026193,-0.034614,-0.00039859,0.03259,-0.021082,0.0040091
