"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"AC9.1_I",-7.707,-8.7104,-3.8524,4.0851,-5.0197,1.1259,1.6992,2.8217
"AC9.1_II",-14.435,-3.2948,6.9312,2.5307,-0.67035,-1.1278,-1.4137,0.81604
"AC9.1_III",-8.4031,-11.647,-1.3212,9.4003,2.9963,-0.82472,-1.1915,-2.9947
"AC9.2_I",-4.7085,7.998,-5.6629,-7.6516,-5.1543,-3.2852,-5.087,-0.057341
"AC9.2_III",-5.7409,5.5733,-6.1024,-1.9732,4.2169,5.3413,6.0356,2.5407
"AC9.2_II",-9.798,10.155,1.6218,-3.7164,1.1039,2.8619,-1.2016,-4.7008
"AC9.3_I",-1.0454,6.5732,6.3759,-2.611,3.3311,-5.2498,1.6969,4.2277
"AC9.3_II",8.4641,-5.4789,-1.9474,-7.6855,0.18595,-9.6507,4.2871,-3.1527
"AC9.3_III",9.1919,-10.474,1.9383,-15.74,1.9094,6.4402,-3.2749,1.343
"E30_I",10.612,3.0246,4.3189,4.3048,-5.3001,4.9357,3.9109,-4.4599
"E30_II",11.799,2.7608,0.68157,8.6509,-2.8683,-0.10847,-1.2427,5.0249
"E30_III",11.77,3.5204,-2.9815,10.406,5.2691,-0.45841,-4.2183,-1.4087
