"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"2.494/287.20054",4.8759,4.8195,4.7682,4.7637,4.76,4.7592,4.7589,4.7589
"2.414/305.21255",4.8483,4.7915,4.7405,4.736,4.7324,4.7316,4.7313,4.7313
"6.018/429.17918",4.5774,4.3757,4.3451,4.3412,4.3391,4.3385,4.3382,4.3382
"2.358/278.14614",4.5566,4.4965,4.4505,4.4464,4.4428,4.442,4.4417,4.4417
"4.358/183.16083",4.4609,4.2011,4.2462,4.2418,4.2371,4.2365,4.2362,4.2362
"2.463/184.05563",4.4362,4.3776,4.3318,4.3277,4.3244,4.3237,4.3234,4.3234
"2.485/143.65749",4.4325,4.3807,4.3341,4.3301,4.3267,4.326,4.3257,4.3257
"2.402/182.05812",4.3383,4.3189,4.2791,4.2754,4.2746,4.2739,4.2736,4.2736
"2.306/292.16097",4.3132,4.2533,4.21,4.2061,4.2027,4.202,4.2018,4.2018
"2.482/182.05773",4.2299,4.2206,4.1829,4.1794,4.1791,4.1784,4.1781,4.1781
"1.998/182.05780",4.2119,4.1738,4.1412,4.1378,4.1363,4.1356,4.1354,4.1354
"2.352/319.22693",4.1992,3.9863,3.9467,3.9426,3.9463,3.9458,3.9456,3.9456
"3.677/221.99404",4.1051,3.8653,3.8203,3.8167,3.8125,3.8118,3.8116,3.8116
"3.677/172.10741",3.852,3.7678,3.735,3.7312,3.7274,3.727,3.7268,3.7268
"4.441/245.19778",3.8079,3.579,3.5368,3.5333,3.5302,3.531,3.5313,3.5313
"3.681/257.99636",3.7063,3.4924,3.4512,3.4478,3.444,3.4434,3.4433,3.4433
"2.515/261.18287",3.6939,3.7263,3.7006,3.7003,3.6984,3.6979,3.6978,3.6978
"2.496/144.10199",3.5915,3.6072,3.5689,3.5656,3.5652,3.5646,3.5644,3.5644
"3.666/264.15985",3.5084,3.3725,3.3711,3.3676,3.372,3.3724,3.3724,3.3724
"3.683/268.02270",3.4748,3.2683,3.2307,3.2274,3.2237,3.2232,3.223,3.223
"1.102/547.48481",3.4214,3.244,3.2064,3.2045,3.2017,3.2012,3.2011,3.2011
"4.441/99.08926",3.1639,3.0071,2.9805,2.9775,2.9745,2.974,2.9739,2.9739
"3.657/269.11416",3.1139,2.9276,2.893,2.8908,2.8881,2.8877,2.8875,2.8875
"3.680/274.10888",3.0504,2.8804,2.8469,2.8445,2.8415,2.841,2.8408,2.8408
"3.660/160.10731",3.0262,2.8927,2.8672,2.8648,2.8693,2.8689,2.8687,2.8687
"3.676/156.04205",3.0213,2.8499,2.8173,2.815,2.8118,2.8113,2.8112,2.8112
"3.678/158.03948",2.9766,2.8484,2.8148,2.813,2.8108,2.8104,2.8102,2.8102
"2.349/216.12342",2.9543,3.1245,3.1468,3.1436,3.142,3.1415,3.1414,3.1414
"1.102/549.50021",2.9477,2.8256,2.8022,2.8014,2.7984,2.7985,2.7983,2.7983
"3.657/268.10845",2.9311,2.7561,2.7241,2.722,2.7194,2.7191,2.7189,2.7189
"3.683/304.12032",2.8749,2.7261,2.694,2.6917,2.6893,2.6889,2.6887,2.6887
"3.677/176.01090",2.7899,2.6295,2.6024,2.6002,2.5973,2.5969,2.5967,2.5967
"2.060/158.11632",2.78,2.6655,2.638,2.6364,2.6335,2.6332,2.6332,2.6332
"3.673/341.82570",2.779,2.6286,2.6045,2.602,2.5993,2.599,2.5988,2.5988
"3.668/256.08729",2.7589,2.598,2.5711,2.5685,2.5656,2.5654,2.5652,2.5652
"2.495/299.14185",2.7409,2.8166,2.8381,2.8399,2.8427,2.8422,2.8421,2.8421
"0.710/216.23345",2.6849,2.5939,2.5632,2.5606,2.5581,2.5576,2.5575,2.5575
"4.437/144.14763",2.677,2.5172,2.4901,2.4876,2.485,2.4846,2.4845,2.4845
"3.652/202.07173",2.6181,2.497,2.4675,2.4654,2.4654,2.4653,2.4651,2.4651
"3.658/112.04841",2.5618,2.4151,2.389,2.3869,2.3843,2.3839,2.3838,2.3838
"4.556/277.14248",2.558,2.5217,2.5033,2.501,2.5002,2.4998,2.4997,2.4997
"3.667/236.15162",2.5519,2.4273,2.4016,2.3991,2.3976,2.3973,2.3971,2.3971
"3.665/240.86866",2.4852,2.3576,2.3337,2.3317,2.3297,2.3295,2.3294,2.3294
"1.094/224.95705",2.4523,2.3048,2.2798,2.2778,2.2754,2.275,2.2749,2.2749
"3.677/132.01890",2.438,2.348,2.3243,2.3235,2.3219,2.3215,2.3214,2.3214
"3.670/214.06564",2.4273,2.2806,2.2592,2.2569,2.2546,2.2544,2.2543,2.2543
"3.657/270.12288",2.4072,2.2737,2.2469,2.2448,2.2436,2.2436,2.2434,2.2434
"5.568/595.24476",2.399,2.2587,2.233,2.2307,2.2286,2.2283,2.2282,2.2282
"4.560/733.29565",2.3712,2.2432,2.2206,2.2245,2.2227,2.2223,2.2222,2.2222
"3.669/246.09250",2.3639,2.2255,2.2021,2.2,2.1975,2.1972,2.197,2.197
"2.302/692.21991",2.3615,2.3991,2.4667,2.4644,2.4637,2.4633,2.4637,2.4637
"4.438/127.12151",2.3286,2.1892,2.1677,2.1656,2.1633,2.1629,2.1628,2.1628
"3.663/152.05558",2.3099,2.1719,2.1489,2.1471,2.1447,2.1445,2.1444,2.1444
"5.321/336.14979",2.2972,2.1733,2.1602,2.158,2.1556,2.1553,2.1553,2.1553
"0.510/400.81354",2.2314,2.1957,2.1709,2.1705,2.1682,2.168,2.1678,2.1678
"0.727/716.96377",2.228,2.0954,2.1261,2.124,2.1221,2.1222,2.1221,2.1221
"5.568/459.28787",2.2157,2.0843,2.0604,2.0584,2.0565,2.0562,2.0561,2.0561
"0.635/368.72766",2.1972,2.0678,2.1316,2.1294,2.127,2.128,2.1281,2.1281
"6.006/557.25944",2.1817,2.0654,2.0421,2.04,2.0394,2.0391,2.039,2.039
"0.636/627.21634",2.1745,2.1478,2.1241,2.1238,2.1217,2.1215,2.1213,2.1213
"4.402/288.07865",2.1711,2.0636,2.0411,2.039,2.037,2.0366,2.0365,2.0365
"2.330/158.11636",2.1684,2.0841,2.0601,2.0582,2.0562,2.0559,2.0557,2.0557
"5.112/599.31479",2.1675,2.0371,2.0136,2.0116,2.0093,2.0089,2.0089,2.0089
"4.777/435.19249",2.1581,2.1699,2.1713,2.169,2.1692,2.17,2.17,2.17
"5.115/615.28978",2.1491,2.0212,2.0011,1.9991,1.997,1.9967,1.9966,1.9966
"0.527/607.31166",2.1024,2.0807,2.0565,2.0584,2.0562,2.0559,2.0558,2.0558
"4.307/242.05606",2.1007,1.974,1.9862,1.9844,1.9823,1.982,1.9818,1.9818
"3.677/177.13402",2.0949,1.9737,1.9507,1.9493,1.9483,1.9479,1.9478,1.9478
"0.800/132.13684",2.0931,1.9796,1.957,1.955,1.9535,1.9531,1.953,1.953
"0.642/587.24541",2.0907,2.1631,2.1424,2.142,2.1396,2.1393,2.1391,2.1391
"3.677/302.11708",2.0797,1.9618,1.9409,1.9389,1.938,1.9378,1.9377,1.9377
"0.635/589.26241",2.0765,2.125,2.1026,2.1025,2.1001,2.0998,2.0996,2.0996
"3.660/124.03739",2.0745,1.9546,1.9315,1.9304,1.9284,1.9283,1.9282,1.9281
"0.509/419.79466",2.0672,1.9791,1.9558,1.9551,1.953,1.9529,1.9528,1.9528
"3.662/245.11623",2.0661,1.9454,1.9332,1.9313,1.9296,1.9297,1.9296,1.9296
"4.403/326.03689",2.0573,1.9812,1.9596,1.9578,1.9556,1.9553,1.9552,1.9552
"6.010/459.28609",2.0242,1.9175,1.8965,1.8945,1.8938,1.8935,1.8934,1.8934
"3.664/174.08613",2.024,1.9019,1.8817,1.8806,1.8885,1.8882,1.8881,1.8881
"0.638/761.48837",2.022,2.0908,2.0833,2.0829,2.0806,2.0804,2.0803,2.0803
"0.510/780.59939",2.0166,2.0802,2.0641,2.0644,2.0624,2.0624,2.0623,2.0623
"3.671/161.16311",2.0011,1.9479,1.9347,1.9356,1.9387,1.9386,1.9387,1.9387
