"","Sample","QC.1","AC9.3_I","AC9.3_II","AC9.1_II","AC9.1_III","E30_I","AC9.2_I","E30_II","AC9.3_III"
"1","Label","QC","AC9.3","AC9.3","AC9.1","AC9.1","E30","AC9.2","E30","AC9.3"
"2","0.631/57.97151","1747","1684","1240","1530","1410","1465","1322","1395","1586"
"3","1.733/59.06014","11610","10701","9299","9738","10713","7385","8973","9783","6049"
"4","0.642/60.51143","1593","1352","1395","1325","1254","1216","1463","1450","1405"
"5","0.863/63.02576","45102","42757","39068","38759","40096","36260","38279","32819","42285"
"6","0.864/65.02146","2328","2215","2018","2322","1775","2367","2288","1890","2099"
"7","0.623/66.01890","52082","46492","48133","46386","45584","45299","46995","48412","49648"
"8","0.642/67.52203","2682","2469","2325","2187","2295","2251","2224","2379","2188"
"9","0.623/68.98231","131255","130638","111791","120337","112507","121921","113157","116047","116981"
"10","0.624/70.97956","13846","13467","12112","12168","10815","11851","11835","11579","11608"
"11","0.642/73.53179","5349","4526","4483","4412","4287","4491","4395","4544","4682"
"12","0.641/74.51440","2229","2140","1826","2402","2218","1847","2211","2143","2349"
"13","0.635/82.99714","1100","1103","1116","1140","1281","1103","1334","1190","1116"
"14","0.807/84.04434","38581","37123","29665","32005","30457","41644","36174","37598","35367"
"15","1.368/86.09691","183075","187086","160871","177075","179285","157775","177984","160123","157796"
"16","0.624/86.99245","21145","20311","18704","18418","17237","17471","16209","15750","15641"
"17","0.644/91.01294","1469","1470","1351","1547","1193","1554","1432","1510","1616"
"18","1.156/97.57370","3991","3449","1164","2321","3132","1600","2675","1283","2427"
"19","2.530/103.05426","18764","17010","14959","17741","19968","14630","17073","15268","13709"
"20","1.045/104.05202","3553","3547","3704","4335","4273","3756","3495","4519","3590"
"21","0.877/104.10666","25224","31512","21930","12769","36484","11614","25614","11820","22788"
"22","0.651/106.47673","4251","4362","3401","3509","3658","3743","3992","3543","3389"
"23","1.155/106.57901","12771","12075","6887","13461","14919","7446","13765","8204","9472"
"24","0.650/107.47593","1354","1484","1509","1264","1128","1354","1517","1314","1095"
"25","0.623/110.00881","223645","212530","197659","206006","200360","209617","202777","207136","223077"
"26","0.621/112.00624","27763","25981","25849","26354","24820","24369","24958","25254","27712"
"27","1.177/112.04977","2727","2314","2573","1889","1532","3029","1358","2071","2398"
